"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"Mindy4",7722,1,1,0.502577096697839,0.502577096697839,0.494200902660013,0.503816805305833,0.500299746644864
"Aqp1",7723,1,1,0.583586025724953,0.583586025724953,0.491433890097203,0.504632316073005,0.639702331584396
"Ghrhr",7724,1,1,0.499900438072481,0.499900438072481,0.499900438072481,0.499900438072481,0.499900438072481
"Adcyap1r1",7725,1,1,0.534617712338164,0.534617712338164,0.499248705433967,0.501803000631104,0.583231464030297
"Ccdc129",7726,1,1,0.5,0.5,0.5,0.500234631628343,0.500133191262653
"Pde1c",7727,1,1,0.493483807473152,0.493483807473152,0.499244503737944,0.497708183476514,0.495811317788306
"Gm8239",7728,1,1,0.499802262577454,0.499802262577454,0.499832375816395,0.499818630031615,0.500234105789614
"Avl9",7730,1,1,0.440132579114058,0.440132579114058,0.537856472151629,0.501628031406065,0.4456831603173
"Kbtbd2",7731,1,1,0.523687520620672,0.523687520620672,0.531337057967225,0.502290555063119,0.524387606624618
"Fkbp9",7732,1,1,0.478475293973921,0.478475293973921,0.508649961140836,0.498053496571911,0.536580866244995
"Nt5c3",7733,1,1,0.523220373243702,0.523220373243702,0.492894410074049,0.502122243545575,0.521110258177816
"Vmn1r4",7734,1,1,0.500113084667624,0.500113084667624,0.49949731013162,0.499807814176983,0.50043598788665
"Vmn1r5",7735,1,1,0.499901784318524,0.499901784318524,0.499800876144962,0.499800876144962,0.499800876144962
"Vmn1r6",7736,1,1,0.500100908173562,0.500100908173562,0.500131061598951,0.5,0.500133191262653
"Vmn1r9",7737,1,1,0.502661950385006,0.502661950385006,0.499964350827525,0.499793914752564,0.501875445429561
"Vmn1r12",7738,1,1,0.499800876144962,0.499800876144962,0.499931937743914,0.499800876144962,0.500067232148711
"Vmn1r13",7739,1,1,0.5,0.5,0.5,0.5,0.500133191262653
"Vmn1r15",7740,1,1,0.499904537090284,0.499904537090284,0.499601752289924,0.499836360557891,0.49973491703102
"Vmn1r16",7741,1,1,0.500304070766729,0.500304070766729,0.499900438072481,0.499900438072481,0.499900438072481
"Vmn1r18",7742,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"4930533I22Rik",7743,1,1,0.5,0.5,0.500131061598951,0.5,0.5
"Ppm1k",7744,1,1,0.495676701624859,0.495676701624859,0.498953229642783,0.499250902785136,0.494436387195222
"Herc6",7745,1,1,0.513816121276273,0.513816121276273,0.500037032339489,0.506073464461671,0.511515235998368
"Pyurf",7746,1,1,0.519130558137535,0.519130558137535,0.488837659514388,0.502099420457075,0.520669125108977
"Lancl2",7747,1,1,0.512707979943747,0.512707979943747,0.499393050655752,0.504072367832125,0.530415638425876
"Vopp1",7748,1,1,0.478219909090215,0.478219909090215,0.492182705401606,0.491876055071435,0.477690145246902
"Vmn1r26",7749,1,1,0.499900438072481,0.499900438072481,0.499900438072481,0.499900438072481,0.499900438072481
"Abcg2",7750,1,1,0.57852817934087,0.57852817934087,0.492167490564452,0.503525010834543,0.559407626157215
"Herc3",7751,1,1,0.50018274787705,0.50018274787705,0.498104513143479,0.507448502982933,0.461904222380503
"Nap1l5",7752,1,1,0.486968237836265,0.486968237836265,0.496737761451188,0.506054822880686,0.480944605589429
"Fam13a",7753,1,1,0.488204614127707,0.488204614127707,0.506786730782982,0.528528720462438,0.477970690284008
"Gm45060",7754,1,1,0.500100908173562,0.500100908173562,0.5,0.500117315814172,0.5
"BB365896",7755,1,1,0.499900438072481,0.499900438072481,0.499900438072481,0.500017753886653,0.499900438072481
"Tigd2",7756,1,1,0.392867407624414,0.392867407624414,0.49959877717597,0.462844292246915,0.365955326663904
"Gprin3",7757,1,1,0.500130686332307,0.500130686332307,0.498988904912748,0.500038240937435,0.498875008566463
"Snca",7758,1,1,0.49673921124449,0.49673921124449,0.501537585867269,0.50316783066754,0.500050762261394
"Ccser1",7759,1,1,0.499408053605508,0.499408053605508,0.500052951808895,0.500412310657135,0.499936533912479
"Grid2",7760,1,1,0.500104866538793,0.500104866538793,0.499963437415346,0.499935899125032,0.500100888005403
"Smarcad1",7761,1,1,0.54042258462362,0.54042258462362,0.501043769145772,0.512367567685758,0.570995902525425
"Hpgds",7762,1,1,0.505883316233999,0.505883316233999,0.502578980141375,0.503784240940051,0.5038611940175
"C130060K24Rik",7763,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"Tnip3",7764,1,1,0.499802222391005,0.499802222391005,0.499832428011376,0.500053285020336,0.500234079268056
"Ndnf",7765,1,1,0.499804914883092,0.499804914883092,0.500944155023271,0.499854137804921,0.500967426859379
"Gm16838",7766,1,1,0.499811646113307,0.499811646113307,0.499397748204101,0.499825591424013,0.499537145775424
"Prdm5",7767,1,1,0.489532253844939,0.489532253844939,0.495026314100005,0.497514339066717,0.491505887679718
"2610300M13Rik",7768,1,1,0.500100908173562,0.500100908173562,0.500131061598951,0.5,0.5
"Vmn1r32",7770,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"Vmn1r38",7771,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"Gm36816",7773,1,1,0.500100908173562,0.500100908173562,0.500131061598951,0.5,0.5
"Gm38825",7775,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"Serbp1",7776,1,1,0.551636834256215,0.551636834256215,0.50543566368268,0.483872579607961,0.585699851924839
"Il12rb2",7777,1,1,0.500407691525602,0.500407691525602,0.499963437415346,0.499818630031615,0.50050048831492
"Rpia",7778,1,1,0.504979703833908,0.504979703833908,0.500162248100494,0.47646035529078,0.542629266602548
"Eif2ak3",7779,1,1,0.500210516713343,0.500210516713343,0.506152718340742,0.506716552284916,0.513336577450268
"Thnsl2",7780,1,1,0.488475953031686,0.488475953031686,0.496313364055299,0.498570765403693,0.485659873328797
"Fabp1",7781,1,1,0.500100908173562,0.500100908173562,0.500131061598951,0.5,0.50039957378796
"Smyd1",7782,1,1,0.539873416704141,0.539873416704141,0.51350798296147,0.505946757775875,0.538195313025458
"Gm1070",7784,1,1,0.499504882854492,0.499504882854492,0.49969619910924,0.49965503731026,0.499569422511116
"Cd8b1",7785,1,1,0.500207201331297,0.500207201331297,0.50012599868573,0.499719068104096,0.500001326077884
"Gm44175",7786,1,1,0.500312148242988,0.500312148242988,0.500614100056736,0.500241756543382,0.500768515176802
"Rmnd5a",7787,1,1,0.461433627457954,0.461433627457954,0.504980210272703,0.485873138948832,0.474751689264095
"Rnf103",7788,1,1,0.478137426403542,0.478137426403542,0.512692619055448,0.510774950611491,0.486906333496494
