"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.5"
"Wtip",1201,1,1,0.369625554331462,0.369625554331462,0.473270626299559,0.420207874262927,0.523720218082034
"Myoc",1202,1,1,0.498284734133791,0.498284734133791,0.5,0.499904598359092,0.5
"Myocos",1203,1,1,0.500821962847279,0.500821962847279,0.500516837994234,0.500440513116855,0.500672713636342
"Arf6",1204,1,1,0.632024151890839,0.632024151890839,0.489924519422711,0.540729960723005,0.619505814043386
"Fmo4",1205,1,1,0.501150747986191,0.501150747986191,0.500387572042183,0.498670305322577,0.501001449688192
"2200002D01Rik",1205,1,1,0.278485242312674,0.278485242312674,0.498584008416739,0.4969785925493,0.502228258076405
"Fmo1",1206,1,1,0.549020285140745,0.549020285140745,0.511663241319661,0.425105320557198,0.528509470882218
"Fmo2",1207,1,1,0.493220991831409,0.493220991831409,0.500005883708415,0.499986778960499,0.500082196284728
"Ssna1",1207,1,1,0.357595148191583,0.357595148191583,0.429148270355323,0.360654556570883,0.382351370390498
"Gm20471",1209,1,1,0.500082196284728,0.500082196284728,0.499700633403165,0.500082196284728,0.500082196284728
"Gm26523",1210,1,1,0.482276337987739,0.482276337987739,0.500769574006464,0.49346825757019,0.512506597914674
"Gorab",1211,1,1,0.479625049592698,0.479625049592698,0.481728764504533,0.496534895718306,0.496616649732449
"Pdgfrb",1211,1,1,0.274120661890165,0.274120661890165,0.499665531876201,0.500085223165658,0.497223267640282
"Kifap3",1212,1,1,0.472137010350528,0.472137010350528,0.503627325055896,0.509986668236253,0.496232248952691
"Scyl3",1213,1,1,0.503601409772024,0.503601409772024,0.484913218186274,0.503728552705823,0.512240816019386
"Tulp4",1213,1,1,0.632362383258013,0.632362383258013,0.563801930438458,0.57075141268297,0.5820088212395
"BC055324",1214,1,1,0.464099116030419,0.464099116030419,0.411724226145564,0.396721787579895,0.39656565809281
"Gnpda1",1214,1,1,0.674644828866771,0.674644828866771,0.534786968105232,0.658950943293723,0.666709159699699
"Mettl18",1215,1,1,0.502218312768283,0.502218312768283,0.483707873400459,0.473932187767116,0.470784264474805
"Erf",1215,1,1,0.346519375060096,0.346519375060096,0.440206857137237,0.444052607127825,0.423653641300322
"Sele",1216,1,1,0.491225158886969,0.491225158886969,0.49989449469558,0.500085176115695,0.4988659661583
"Psma5",1216,1,1,0.667213044028729,0.667213044028729,0.556946582150018,0.446881376348166,0.486620118715095
"Sell",1217,1,1,0.5,0.5,0.5,0.5,0.5
"Selp",1218,1,1,0.523330914910914,0.523330914910914,0.49532136037561,0.47580701899498,0.430023644746725
"Cox14",1218,1,1,0.646655654526337,0.646655654526337,0.550661966123087,0.644313903800329,0.64448700510854
"Gm16587",1219,1,1,0.500657570277823,0.500657570277823,0.500276032486702,0.500657570277823,0.500657570277823
"Acsl4",1219,1,1,0.619270333852265,0.619270333852265,0.552300171197097,0.571630901951234,0.614388708758462
"Gm16548",1220,1,1,0.500082196284728,0.500082196284728,0.500082196284728,0.49998679464382,0.49963430139073
"Gclc",1220,1,1,0.625132634913993,0.625132634913993,0.43089516721976,0.540500545105184,0.587877596699425
"F5",1221,1,1,0.5,0.5,0.499847374847375,0.499904598359092,0.499552105106002
"Atp1b3",1221,1,1,0.359138549098816,0.359138549098816,0.447367744270999,0.416897344791819,0.453161346668194
"Slc19a2",1222,1,1,0.495115736034597,0.495115736034597,0.470179697236659,0.45599898472454,0.441288708154691
