"","Top","p.value","FDR","summary.AUC","AUC.d5_MuSCs_and_progenitors"
"Cyb5r3",1313,1,1,0.535306903585725,0.535306903585725
"A4galt",1314,1,1,0.502100157064121,0.502100157064121
"Mcat",1315,1,1,0.516572128536775,0.516572128536775
"Pnpla3",1316,1,1,0.5,0.5
"Cerk",1317,1,1,0.492590980616577,0.492590980616577
"Alg12",1318,1,1,0.503657825323355,0.503657825323355
"Miox",1319,1,1,0.5,0.5
"Tymp",1320,1,1,0.5,0.5
"Cpt1b",1321,1,1,0.500183083119736,0.500183083119736
"Chkb",1322,1,1,0.497414910201567,0.497414910201567
"Arsa",1323,1,1,0.501670770505857,0.501670770505857
"Alg10b",1324,1,1,0.504594253455739,0.504594253455739
"Gxylt1",1325,1,1,0.527732159262581,0.527732159262581
"Pfkm",1326,1,1,0.498181593605173,0.498181593605173
"Adcy6",1327,1,1,0.510262338742508,0.510262338742508
"Kmt2d",1328,1,1,0.503256211853115,0.503256211853115
"Gpd1",1329,1,1,0.501234257957903,0.501234257957903
"Cers5",1330,1,1,0.512280455566348,0.512280455566348
"Galnt6",1331,1,1,0.499684081123728,0.499684081123728
"Soat2",1332,1,1,0.501066705841338,0.501066705841338
"Csad",1333,1,1,0.510789479261908,0.510789479261908
"Atp5g2",1334,1,1,0.466800744903456,0.466800744903456
"Pde1b",1335,1,1,0.501432323927758,0.501432323927758
"Adcy9",1336,1,1,0.502820430175899,0.502820430175899
"Hmox2",1337,1,1,0.517689629894367,0.517689629894367
"Alg1",1338,1,1,0.512085495797128,0.512085495797128
"Abat",1339,1,1,0.50239250535911,0.50239250535911
"Pmm2",1340,1,1,0.519907457147222,0.519907457147222
"Pi4ka",1341,1,1,0.517499055349572,0.517499055349572
"Smpd4",1342,1,1,0.505085215873635,0.505085215873635
"Car15",1343,1,1,0.5,0.5
"Prodh",1344,1,1,0.522073940730768,0.522073940730768
"Comt",1345,1,1,0.535771371939388,0.535771371939388
"Txnrd2",1346,1,1,0.510256309058924,0.510256309058924
"B3gnt5",1347,1,1,0.510887050505361,0.510887050505361
"Alg3",1348,1,1,0.507313275316814,0.507313275316814
"Ehhadh",1349,1,1,0.501098498718418,0.501098498718418
"Dgkg",1350,1,1,0.500749325223592,0.500749325223592
"St6gal1",1351,1,1,0.50360447175952,0.50360447175952
"Xxylt1",1352,1,1,0.519340301454944,0.519340301454944
"Bdh1",1353,1,1,0.504266092494615,0.504266092494615
"Pigz",1354,1,1,0.5,0.5
"Pigx",1355,1,1,0.514517468176061,0.514517468176061
"Pcyt1a",1356,1,1,0.528251077486185,0.528251077486185
"Umps",1357,1,1,0.513894400872367,0.513894400872367
"Hacd2",1358,1,1,0.510427880964545,0.510427880964545
"Adcy5",1359,1,1,0.499684081123728,0.499684081123728
"Hgd",1360,1,1,0.500915415598682,0.500915415598682
"Ndufb4",1361,1,1,0.470699940287861,0.470699940287861
"Cox17",1362,1,1,0.429900725827729,0.429900725827729
"Pla1a",1363,1,1,0.501767245443204,0.501767245443204
"Poglut1",1364,1,1,0.517235759166398,0.517235759166398
"B4galt4",1365,1,1,0.508562516124836,0.508562516124836
"Atp6v1a",1366,1,1,0.555647584362582,0.555647584362582
"Gm4737",1367,1,1,0.500501377325905,0.500501377325905
"Nit2",1368,1,1,0.497804829740007,0.497804829740007
"St3gal6",1369,1,1,0.496573860700423,0.496573860700423
"Cpox",1370,1,1,0.510854709475227,0.510854709475227
"Gbe1",1371,1,1,0.500472507931775,0.500472507931775
"Atp5j",1372,1,1,0.477309204366806,0.477309204366806
"Synj1",1373,1,1,0.505886615637272,0.505886615637272
"Gart",1374,1,1,0.498446168812138,0.498446168812138
"Atp5o",1375,1,1,0.499684081123728,0.499684081123728
"Cbr1",1376,1,1,0.498871901016714,0.498871901016714
"Cbr3",1377,1,1,0.556780616723346,0.556780616723346
"Hlcs",1378,1,1,0.505394739630954,0.505394739630954
"Pigp",1379,1,1,0.486017163768399,0.486017163768399
"B3galt5",1380,1,1,0.500265671513071,0.500265671513071
"Ldhal6b",1381,1,1,0.501929133311553,0.501929133311553
"Synj2",1382,1,1,0.509937649417386,0.509937649417386
"Pde10a",1383,1,1,0.514691598129263,0.514691598129263
"Agpat4",1384,1,1,0.536143019709391,0.536143019709391
"Acat3",1385,1,1,0.501064513229126,0.501064513229126
"Acat2",1386,1,1,0.498799727531389,0.498799727531389
"Prdm9",1387,1,1,0.499236240079343,0.499236240079343
"Amdhd2",1388,1,1,0.488865915185374,0.488865915185374
"Atp6v0c",1389,1,1,0.501553831187862,0.501553831187862
"Eci1",1390,1,1,0.492414475333478,0.492414475333478
"Pgp",1391,1,1,0.470348574180822,0.470348574180822
"Ndufb10",1392,1,1,0.454248953575822,0.454248953575822
"Hagh",1393,1,1,0.480470768459419,0.480470768459419
"Fahd1",1394,1,1,0.5138648006075,0.5138648006075
"Nme3",1395,1,1,0.501148746081619,0.501148746081619
"Pigq",1396,1,1,0.504929905841923,0.504929905841923
"Nme4",1397,1,1,0.490543263527869,0.490543263527869
"Atp6v0e",1398,1,1,0.516574503866672,0.516574503866672
"Glo1",1399,1,1,0.477134708978235,0.477134708978235
"Pde9a",1400,1,1,0.500183083119736,0.500183083119736
"Ndufv3",1401,1,1,0.500052257257729,0.500052257257729
"Cbs",1402,1,1,0.498576081085723,0.498576081085723
"Ndufa7",1403,1,1,0.469667768088868,0.469667768088868
"B3galt4",1404,1,1,0.503979225730158,0.503979225730158
"H2-Ke6",1405,1,1,0.508420544484082,0.508420544484082
"Agpat1",1406,1,1,0.523004156461884,0.523004156461884
"Ppt2",1407,1,1,0.520480277087714,0.520480277087714
"Cyp21a1",1408,1,1,0.500183083119736,0.500183083119736
"Ehmt2",1409,1,1,0.51900209102118,0.51900209102118
"Neu1",1410,1,1,0.504535052926004,0.504535052926004
"Atp6v1g2",1411,1,1,0.494333559172391,0.494333559172391
"Pla2g7",1412,1,1,0.500030148417921,0.500030148417921
"Cyp39a1",1413,1,1,0.500882526415495,0.500882526415495
"Enpp4",1414,1,1,0.496394614652058,0.496394614652058
"Gnmt",1415,1,1,0.499917959759719,0.499917959759719
"Mocs1",1416,1,1,0.504859194098073,0.504859194098073
"Ndufa11",1417,1,1,0.470501508882638,0.470501508882638
"Acsbg2",1418,1,1,0.5,0.5
"Acer1",1419,1,1,0.5,0.5
"Nudt12",1420,1,1,0.501367276432123,0.501367276432123
"Man2a1",1421,1,1,0.53484736860954,0.53484736860954
"Ndufv2",1422,1,1,0.474133753730182,0.474133753730182
"Lpin2",1423,1,1,0.487680442849197,0.487680442849197
"Lclat1",1424,1,1,0.529351220663762,0.529351220663762
"Galnt14",1425,1,1,0.499417496022236,0.499417496022236
"Xdh",1426,1,1,0.501617416942022,0.501617416942022
"Srd5a2",1427,1,1,0.5,0.5
"Cyp1b1",1428,1,1,0.514198260381471,0.514198260381471
"Galm",1429,1,1,0.505628618266945,0.505628618266945
"Cox7a2l",1430,1,1,0.467370824078683,0.467370824078683
"Haao",1431,1,1,0.5,0.5
"Camkmt",1432,1,1,0.507098764755367,0.507098764755367
"Atp6v1e2",1433,1,1,0.499500998003992,0.499500998003992
"Pigf",1434,1,1,0.520821228286744,0.520821228286744
"B4galt6",1435,1,1,0.503955655148875,0.503955655148875
"Galnt1",1436,1,1,0.53476660739305,0.53476660739305
"Mocos",1437,1,1,0.497655001238826,0.497655001238826
"Pik3c3",1438,1,1,0.50687383928591,0.50687383928591
"Ndufa2",1439,1,1,0.463161374066221,0.463161374066221
"Gnpda1",1440,1,1,0.505709196765751,0.505709196765751
"Cdo1",1441,1,1,0.500704011237868,0.500704011237868
"Eno1b",1442,1,1,0.522974190761648,0.522974190761648
"Hsd17b4",1443,1,1,0.51315238435615,0.51315238435615
"Prdm6",1444,1,1,0.50554475084982,0.50554475084982
"Aldh7a1",1445,1,1,0.514517650893745,0.514517650893745
"Chsy3",1446,1,1,0.50059949672241,0.50059949672241
"Ndst1",1447,1,1,0.517505450468525,0.517505450468525
"Pde6a",1448,1,1,0.497703238707499,0.497703238707499
"Fech",1449,1,1,0.506068419733218,0.506068419733218
"Impa2",1450,1,1,0.510579353924886,0.510579353924886
"Me2",1451,1,1,0.524106674969358,0.524106674969358
"Acaa2",1452,1,1,0.529577607874694,0.529577607874694
"Lipg",1453,1,1,0.507374485741077,0.507374485741077
"St8sia5",1454,1,1,0.500549249359209,0.500549249359209
"Atp5a1",1455,1,1,0.457560346169616,0.457560346169616
"Cndp1",1456,1,1,0.506351997579356,0.506351997579356
"Cndp2",1457,1,1,0.521676529767269,0.521676529767269
"Cpt1a",1458,1,1,0.512424802536999,0.512424802536999
"Kmt5b",1459,1,1,0.496584823761485,0.496584823761485
"Chka",1460,1,1,0.50322588071751,0.50322588071751
"Tcirg1",1461,1,1,0.499853825852506,0.499853825852506
"Ndufs8",1462,1,1,0.464047920270773,0.464047920270773
"Aldh3b1",1463,1,1,0.495634326367404,0.495634326367404
"Aldh3b3",1464,1,1,0.5,0.5
"Aldh3b2",1465,1,1,0.5,0.5
"Ndufv1",1466,1,1,0.457346383761222,0.457346383761222
"Gstp1",1467,1,1,0.530977956207687,0.530977956207687
"Gstp2",1468,1,1,0.503241046285313,0.503241046285313
"Gstp3",1469,1,1,0.500466843683559,0.500466843683559
"Carns1",1470,1,1,0.497085104781283,0.497085104781283
"Pcx",1471,1,1,0.502524244809539,0.502524244809539
"Rce1",1472,1,1,0.527502848568699,0.527502848568699
"B4gat1",1473,1,1,0.513867175937397,0.513867175937397
"Tm7sf2",1474,1,1,0.494845168688621,0.494845168688621
"Pygm",1475,1,1,0.489950344642096,0.489950344642096
"Plcb3",1476,1,1,0.513700537409253,0.513700537409253
"Cox8a",1477,1,1,0.44730184449848,0.44730184449848
"Ganab",1478,1,1,0.508955359146226,0.508955359146226
"B3gat3",1479,1,1,0.485936219834224,0.485936219834224
"Asrgl1",1480,1,1,0.50110525927274,0.50110525927274
"Fads2",1481,1,1,0.495676351434809,0.495676351434809
"Fads1",1482,1,1,0.541013907739263,0.541013907739263
"Tkfc",1483,1,1,0.505439688181309,0.505439688181309
"Gm4952",1484,1,1,0.500549249359209,0.500549249359209
"Glyat",1485,1,1,0.499781652367181,0.499781652367181
"Psat1",1486,1,1,0.482422010610781,0.482422010610781
"Gcnt1",1487,1,1,0.497646413507661,0.497646413507661
"Rfk",1488,1,1,0.510555966061286,0.510555966061286
"Nmrk1",1489,1,1,0.498929091651921,0.498929091651921
"Carnmt1",1490,1,1,0.491152444287551,0.491152444287551
