"","gene","importance","pvalue","qvalue"
"124","Gm10053",1.42969267397803,0,0
"125","mt-Cytb",1.41764400915897,0,0
"126","Gm6133",1.40552675086762,0,0
"127","Rps21",1.36340499755767,0,0
"128","Snrpf",1.35990339982705,0,0
"129","Cox6c",1.35290669880336,0,0
"130","Atpif1",1.33751975819469,0,0
"131","Rpl36a",1.33691056645097,0,0
"132","Gm10116",1.322546418386,0,0
"133","Eno1",1.32179317671888,0,0
"134","Ndufa3",1.2984190892216,0,0
"135","Ddx5",1.26920477297846,0,0
"136","Atp5j",1.26740248213655,0,0
"137","Nme1",1.26236920283918,0,0
"138","Rps26-ps1",1.25802175915829,0,0
"139","Rps12",1.25783447085154,0,0
"140","Cox7b",1.22306799556498,0,0
"141","Gpx1",1.21101365555477,0,0
"142","Slc25a4",1.20163525856927,0,0
"143","Rpl7a-ps5",1.17905664225977,0,0
"144","Rps23",1.17136304891239,0,0
"145","Rps14",1.16379681599147,0,0
"146","2010107E04Rik",1.13627217835337,0,0
"147","Mrpl42",1.13497025620281,0,0
"148","Rplp0",1.12342519664538,0,0
"149","Fam132b",1.10326473551881,0,0
"150","Rrm2",1.09185085948438,0,0
"151","Rpl34",1.09107975434837,0,0
"152","Lsm4",1.08324985580331,0,0
"153","Alyref",1.08021715549098,0,0
"154","Rplp2",1.07003317887233,0,0
"155","Snrpe",1.05680195013397,0,0
"156","Rpl35a",1.03512698406959,0,0
"157","Hmgn1",1.03385793211764,0,0
"158","Fau",1.02665513524396,0,0
"159","Rpl18a",1.01141977232143,0,0
"160","Rpl7",1.0097256092644,0,0
"161","Nedd8",0.993290495957851,0,0
"162","Rps15a",0.985998863303304,0,0
"163","Rps17",0.976352530466704,0,0
"164","Cdk4",0.954431736219163,0,0
"165","Ndufb8",0.940847256503205,0,0
"166","mt-Nd4",0.937367712481311,0,0
"167","Rps27a",0.936882701520368,0,0
"168","Rpl10a",0.930350150974079,0,0
"169","Ftl1",0.92286209942383,0,0
"170","Gm8186",0.895420638278638,0,0
"171","Erdr1",0.880641896756481,0,0
"172","Dctpp1",0.880628591849124,0,0
"173","Tomm20",0.878130051744922,0,0
"174","Myef2",0.872255868772833,0,0
"175","Hspa8",0.862662011639617,0,0
"176","Tomm5",0.84111384171371,0,0
"177","Ndufa12",0.83559735057054,0,0
"178","Eif4ebp1",0.832846807799489,0,0
"179","Mrps33",0.831625778065418,0,0
"180","Rpl23a",0.814829235992828,0,0
"181","Hmox1",0.801643434913587,0,0
"182","Rpl12",0.798040270545781,0,0
"183","Uba52",0.794442521421822,0,0
"184","Rpl19",0.790789931498561,0,0
"185","Cox17",0.77993545669775,0,0
"186","Ube2i",0.776815429045671,0,0
"187","Rpl24",0.775035035579201,0,0
"188","Rps24",0.774755630181277,0,0
"189","Cox5b",0.765223763845006,0,0
"190","Crlf1",0.762837759884122,0,0
"191","Npm1",0.754800260321872,0,0
"192","Errfi1",0.753810423228131,0,0
"193","Rpl13a",0.752629417224883,0,0
"194","mt-Nd1",0.751336084269417,0,0
"195","Rpl3",0.747874975178918,0,0
"196","Rpl14",0.725825012793756,0,0
"197","Ndufa2",0.724989252259351,0,0
"198","Atp5g3",0.72186217613061,0,0
"199","Rps6",0.719118126474889,0,0
"200","Dtymk",0.71423570390942,0,0
