"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Ndst4",380,1,1,0.0306058688626383,0.0306058688626383,0.0244179118118073,0.0318065365875207,0.0289386016317165
"Ugt8a",381,1,1,0.0090039121633176,0.0090039121633176,0.0102125429384516,0.00999368009632912,0.00946046445699801
"Pla2g12a",383,1,1,-0.320899150546243,-0.320899150546243,-0.108829633975844,-0.327517211045554,-0.32643755713188
"Hadh",384,1,1,-0.0686290942397247,-0.0686290942397247,-0.213494476111584,-0.164202876166379,-0.170962524423785
"Cyp2u1",385,1,1,0.00497967800096662,0.00497967800096662,0.00144942857886445,0.0209710387231486,0.00607701401341185
"Sgms2",386,1,1,-0.231631656494542,-0.231631656494542,-0.0687356378247681,-0.294714040943816,-0.181663832708127
"Papss1",387,1,1,0.217755400420779,0.217755400420779,0.0722138136616147,0.194921808059095,0.170612075925144
"Ppa2",388,1,1,0.231087451647351,0.231087451647351,0.0661623912729055,0.242378752816647,0.213530640341012
"Bdh2",389,1,1,-0.0110824371964176,-0.0110824371964176,0.0126728290941343,-0.017089795376481,-0.00972289292040246
"Manba",390,1,1,-0.0427165824899811,-0.0427165824899811,-0.0253305471497805,-0.0400353155602745,-0.0444741184466145
"Adh1",392,1,1,-0.00123769270297535,-0.00123769270297535,-0.000398167347394555,-0.000566061376619042,-0.000757349677090951
"Kyat3",394,1,1,-0.0220555771106262,-0.0220555771106262,-0.00595406324079371,-0.00796574379283713,-0.0320990997638943
"Hs2st1",395,1,1,0.121671841938465,0.121671841938465,-0.0912449043569341,0.175463430678551,0.112057221183461
"Uox",396,1,1,-0.00185987513146254,-0.00185987513146254,0.00029029323132847,-0.00111273236405167,-0.000689481536450607
"Ak5",397,1,1,-0.025448690144348,-0.025448690144348,-0.0101738074510875,-0.0269762148823463,-0.013716512680997
"Pigk",398,1,1,-0.0787708110714549,-0.0787708110714549,-0.0302185746421578,-0.101148991403431,-0.0737181448343667
"St6galnac5",399,1,1,-0.000172083855068377,-0.000172083855068377,0,0,0
"St6galnac3",400,1,1,0.000936314752055745,0.000936314752055745,0.000128741384762261,0.00146169724048431,0.00111080075478833
"Acadm",401,1,1,0.202744794270656,0.202744794270656,-0.0327734689665435,0.209117177875776,0.103380924494689
"Fpgt",402,1,1,0.00658173931282202,0.00658173931282202,0.0138457187085418,-0.000552981676894229,-0.00183609143583111
"Car8",404,1,1,0.115758989614467,0.115758989614467,0.111064979529585,0.101434127843877,0.0806514936696073
"Atp6v0d2",405,1,1,0,0,0,-0.000283735814867687,-0.000449833688380654
"Ggh",406,1,1,-0.140174818932549,-0.140174818932549,-0.0285325970329254,-0.161808008647522,-0.123644700835381
"Coq3",407,1,1,-0.0546810587357863,-0.0546810587357863,-0.0473656462011504,-0.059802457677231,-0.0967015732350258
"Fut9",408,1,1,0,0,0,-0.000287988436072207,0
