"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"mmu00563",21,1,1,0.499968916734403,0.499968916734403,0.500003978265766,0.499932723574539,0.499936591958723
"mmu00450",22,1,1,0.493736165029438,0.493736165029438,0.498912293755144,0.495003075792986,0.492731794673199
"mmu00350",23,1,1,0.499972841924939,0.499972841924939,0.499996156135104,0.499971930334162,0.499981780735306
"mmu00380",24,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00750",25,1,1,0.498277027005523,0.498277027005523,0.500962955356869,0.499110673385697,0.498215168328505
"mmu00760",26,1,1,0.499998461749655,0.499998461749655,0.5,0.5,0.499999968749117
"mmu00020",27,1,1,0.511100306228514,0.511100306228514,0.499277111477996,0.503084730590559,0.502302002531572
"mmu00030",28,1,1,0.498842652266097,0.498842652266097,0.499479492308776,0.499156269136425,0.499033878957081
"mmu00040",29,1,1,0.499521126754587,0.499521126754587,0.499832536515373,0.499186643028563,0.499183539434989
"mmu00071",30,1,1,0.500067974752326,0.500067974752326,0.50001817099769,0.4998885243246,0.499870433839756
"mmu00910",31,1,1,0.499896645489733,0.499896645489733,0.500003171860544,0.49973054517296,0.499960623887625
"mmu00230",32,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00670",33,1,1,0.489945465312243,0.489945465312243,0.496356150479515,0.492979301763571,0.494048144360078
"mmu00120",34,1,1,0.500133774736922,0.500133774736922,0.500118138365159,0.500136228651867,0.500113784464411
"mmu00051",35,1,1,0.499963453293521,0.499963453293521,0.499990780100285,0.499915092752091,0.499938810771404
"mmu00532",36,1,1,0.500145391179185,0.500145391179185,0.500263990189812,0.500212407769851,0.50013756638625
"mmu00600",37,1,1,0.499995730029214,0.499995730029214,0.500006800684047,0.499991236957555,0.499991062247508
"mmu00561",38,1,1,0.499999973478442,0.499999973478442,0.5,0.499999895262441,0.499998874968218
"mmu00061",39,1,1,0.500522925552715,0.500522925552715,0.50031600332669,0.500504206609499,0.500327696757433
"mmu00533",40,1,1,0.500953158261349,0.500953158261349,0.499814714959946,0.501517193368576,0.501221284501287
"mmu00730",41,1,1,0.500770345164282,0.500770345164282,0.499706199697114,0.500707606949267,0.500481294846579
"mmu00790",42,1,1,0.497578024831392,0.497578024831392,0.498891622901263,0.497702407078583,0.496395210664701
"mmu00511",43,1,1,0.497683315415369,0.497683315415369,0.500079162112717,0.495745944387149,0.497232453066799
"mmu00053",44,1,1,0.499537437512558,0.499537437512558,0.499845277717895,0.499491848275775,0.499513455005104
"mmu00140",45,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00860",46,1,1,0.497528456040094,0.497528456040094,0.499487905803268,0.497421570770121,0.496917319164266
"mmu00260",47,1,1,0.499303437809175,0.499303437809175,0.499984086936934,0.49936703601785,0.499541299541712
"mmu00630",48,1,1,0.500062007401848,0.500062007401848,0.49990632259327,0.499915441877288,0.499872590150672
"mmu00240",49,1,1,0.500821452205925,0.500821452205925,0.499325361390501,0.500607338192691,0.500050688931962
"mmu00052",50,1,1,0.498670209098082,0.498670209098082,0.499878662894124,0.498354153996331,0.498611335770236
"mmu00601",51,1,1,0.5,0.5,0.5,0.5,0.5
