"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Pcid2",11358,1,1,0.0973918879144948,0.0973918879144948,0.00412276783909377,0.0724896922886451,0.0683855456762135
"Cul4a",11359,1,1,-0.0303190745480569,-0.0303190745480569,-0.0792485766049649,0.0226879528891392,-0.0490559923815703
"Grtp1",11361,1,1,-0.112369482782987,-0.112369482782987,-0.0733732236281822,-0.0916575620984543,-0.133189680577067
"Adprhl1",11362,1,1,0.000454289244931261,0.000454289244931261,5.14335761571306e-05,0.000454289244931261,6.66046329070063e-05
"Dcun1d2",11363,1,1,-0.0077868899947098,-0.0077868899947098,0.0257931442238206,0.0309353618184842,-0.00149281521867048
"Tmco3",11364,1,1,-0.0529726584481272,-0.0529726584481272,0.0134456642538547,-0.036181076282787,-0.0632462800239408
"Atp4b",11366,1,1,-0.000172205214696429,-0.000172205214696429,0,0,0
"Grk1",11367,1,1,-3.92325001373147e-06,-3.92325001373147e-06,-0.000902176125106934,0.000231816713690726,-0.000671063440026542
"Tmem255b",11368,1,1,-0.000264074888591717,-0.000264074888591717,0,0,0
"Gas6",11369,1,1,-0.225188726897632,-0.225188726897632,-0.174379794110082,-0.258319888176229,-0.222461740780041
"Gm5608",11370,1,1,-0.000733166602135449,-0.000733166602135449,-0.00115343504752243,-0.00515558403401783,-0.00335422353131623
"1700029H14Rik",11371,1,1,-0.000443000883847154,-0.000443000883847154,0.000498546591309462,-0.000144433083558436,0.000188394670551791
"Rasa3",11372,1,1,0.255065570270335,0.255065570270335,0.0535359287356335,0.236158939991021,0.180149615391529
"4932443I19Rik",11373,1,1,0,0,-0.000106405149839248,0,-0.000390565564683752
"Cdc16",11374,1,1,0.363515530185348,0.363515530185348,0.191270801227186,0.402324673617923,0.250215849956326
"Upf3a",11375,1,1,-0.180511318813606,-0.180511318813606,0.0850001361727168,-0.262369798870942,-0.205725414180121
"AF366264",11376,1,1,-0.000221799497658464,-0.000221799497658464,-0.000191817453930212,-0.000337353946492093,0
"Champ1",11377,1,1,0.0494641935741115,0.0494641935741115,-0.0460180771909526,0.0596034358643085,0.0396473625343771
"Coprs",11378,1,1,-0.0586659943712124,-0.0586659943712124,0.108311105815768,-0.0821327118487912,-0.0805183594551998
"Fbxo25",11379,1,1,-0.00956544262163031,-0.00956544262163031,0.0291595045293123,-0.0421186914997482,-0.0149927904197656
"Tdrp",11380,1,1,-0.0112990883675558,-0.0112990883675558,0.00193831977052808,-0.0147078998866274,-0.0161701923929092
"Gm5907",11381,1,1,0,0,0,-0.00019981514971042,0
"Erich1",11382,1,1,-0.0724992876595056,-0.0724992876595056,0.0368726057830969,-0.0995549138047578,-0.0601831199232436
"Dlgap2",11383,1,1,-0.0094098317271641,-0.0094098317271641,0.000338741540082263,-0.0139869450541787,-0.0109326483820652
"C030037F17Rik",11384,1,1,0.000491089411049592,0.000491089411049592,0.00192338276501747,0.00039222305997666,0.00160927296884231
"Cln8",11385,1,1,-0.302597705303661,-0.302597705303661,0.0231714164566059,-0.375642178445757,-0.176848450269442
"Arhgef10",11386,1,1,-0.0264976981160127,-0.0264976981160127,-0.00331964985468386,-0.0357689548199412,-0.0168804609651594
"Kbtbd11",11387,1,1,-0.00318684051353821,-0.00318684051353821,-0.0248200982502194,0.00334925807405134,-0.0312962401450521
"5830468F06Rik",11388,1,1,-0.000128563835918525,-0.000128563835918525,0,0,0
"Myom2",11389,1,1,-0.0726169622523847,-0.0726169622523847,-0.0236901597074152,-0.0764794524391196,-0.0626561514177913
"Csmd1",11390,1,1,0.0111821461003334,0.0111821461003334,0.0129063551314487,0.0101777891692907,0.0125400103628981
"1700014L14Rik",11391,1,1,0.000173174605605232,0.000173174605605232,0.000173174605605232,0.000173174605605232,0.000173174605605232
"Mcph1",11392,1,1,0.020457419110351,0.020457419110351,-0.125284375202285,0.0649763933875732,-0.0356857014429654
"Gm16725",11393,1,1,0.000160681874252984,0.000160681874252984,6.54476313207608e-05,0.000133225076943638,0.000159896146573302
"Angpt2",11394,1,1,-0.0105856729109021,-0.0105856729109021,-0.0531639457668138,-0.0385674830933542,-0.00865726657076074
"Agpat5",11395,1,1,0.258976517904376,0.258976517904376,-0.0491116208719315,0.198611373994079,0.192600829334367
"Gm35934",11396,1,1,-0.000487970385773017,-0.000487970385773017,-0.000691686334996767,0,0
"Xkr5",11397,1,1,0.0194060133943605,0.0194060133943605,-0.0374638953759534,0.0175246337646104,0.0129062882363301
"4930467E23Rik",11398,1,1,0,0,0,-0.000125844428827148,0
"Gm26853",11399,1,1,0.0106388441614144,0.0106388441614144,0.0180738424883999,0.0327307306475525,0.0465209149588263
"Gm31371",11400,1,1,0,0,0,0,-0.000253657360479911
"Gm26804",11401,1,1,0.00302769704892543,0.00302769704892543,0.00184988844800384,0.00149151085663028,0.00236088349553107
