"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"mmu00750",25,1,1,-0.047331876027009,-0.047331876027009,0.0386534664989754,-0.0200951572608963,-0.0323007379854435
"mmu00760",26,1,1,-0.0782372462613657,-0.0782372462613657,-0.0181467578580117,-0.0747974618339561,-0.0821510107186103
"mmu00020",27,1,1,0.0856486129250327,0.0856486129250327,0.025651894297761,0.0773832190600985,0.0761664284246801
"mmu00030",28,1,1,-0.131241245877807,-0.131241245877807,-0.118483396106712,-0.125412334777122,-0.144314861885687
"mmu00040",29,1,1,-0.0926732231662484,-0.0926732231662484,-0.0724810255453792,-0.107069253696931,-0.114185200909594
"mmu00071",30,1,1,-0.0616776087848517,-0.0616776087848517,-0.0369660586657017,-0.0768953268848098,-0.0815821812789004
"mmu00910",31,1,1,-0.0867643185070014,-0.0867643185070014,-0.0242950063847322,-0.0924398820826625,-0.0839861990974805
"mmu00230",32,1,1,0.0260636262050187,0.0260636262050187,-0.011660928271782,0.031206574912552,0.0107751482008054
"mmu00670",33,1,1,-0.048970488136834,-0.048970488136834,0.00108822093184735,-0.020531284389391,-0.0202554606194468
"mmu00120",34,1,1,-0.0120897256373635,-0.0120897256373635,-0.0236845111051405,-0.0179183916747641,-0.021983844208934
"mmu00051",35,1,1,-0.0667295143905633,-0.0667295143905633,-0.0465773356826379,-0.0797614338151109,-0.080766093492687
"mmu00532",36,1,1,-0.0172475960463649,-0.0172475960463649,0.00289485296414016,-0.018790718769108,-0.0318379746118833
"mmu00600",37,1,1,-0.0833242967061356,-0.0833242967061356,-0.0439864749976964,-0.0971373672455325,-0.0984483610481865
"mmu00561",38,1,1,-0.082820239557067,-0.082820239557067,-0.0673830499142794,-0.0968017192181793,-0.0991645809615037
"mmu00061",39,1,1,0.0340281094062253,0.0340281094062253,0.0267020204063115,0.0360028349414969,0.0282992424884999
"mmu00533",40,1,1,0.0522178263772301,0.0522178263772301,-0.00220525341643163,0.0650143142048832,0.0579176606923952
"mmu00730",41,1,1,0.061031301255335,0.061031301255335,-0.00806001473145834,0.0661326545677101,0.0580160776376283
"mmu00790",42,1,1,-0.119245043246147,-0.119245043246147,-0.097040143988531,-0.128523004591157,-0.148529927025925
"mmu00511",43,1,1,-0.154163185924846,-0.154163185924846,-0.0669301049033632,-0.168249366773129,-0.165171557802707
"mmu00053",44,1,1,-0.0919999999686348,-0.0919999999686348,-0.0617036257918151,-0.0988633337082145,-0.10709284439455
"mmu00140",45,1,1,0.00442871114419184,0.00442871114419184,0.00563298566289056,0.00149872891293833,0.00294979068464001
