"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Spc24",57,1.75684317025731e-271,4.55530383941079e-269,0.167748547464618,0.177707670692215,0.382422543434329,0.167748547464618,0.17258153167827
"Lonp1",58,0,0,0.844385847714913,0.844385847714913,0.612473449108035,0.848425270798959,0.825734702005332
"Prdx1",59,4.19111661605288e-239,9.11081017111834e-237,0.847404939189532,0.785421874174516,0.763406782513049,0.80793104218759,0.847404939189532
"Nupr1",59,3.94758451027156e-321,1.18046116629557e-318,0.83982464370409,0.83982464370409,0.406824069798135,0.843223689401467,0.668867708012751
"Avpi1",60,2.78277473644146e-262,6.96373198871586e-260,0.828365995089361,0.816819711967397,0.58837480854596,0.747192998503649,0.828365995089361
"Psmd8",61,1.51164090935953e-283,4.11797772282629e-281,0.860144879974248,0.789694576680931,0.659823870347243,0.860144879974248,0.851855533668826
"Stbd1",63,9.98160614821127e-296,2.82650191994268e-293,0.836679721621533,0.792054173145883,0.490995517999771,0.836679721621533,0.649395064160563
"Hmgb2",63,1.70440430572416e-271,4.47322988579154e-269,0.172764114957152,0.182510088270109,0.482448106479896,0.172764114957152,0.185965722281654
"H19",64,1.07001741016493e-240,2.37400460661447e-238,0.17233283715265,0.186765206983784,0.398950920565322,0.173925898875188,0.17233283715265
"Cebpb",65,1.75382039909496e-298,5.0325291745231e-296,0.832351452225021,0.832351452225021,0.45364591929389,0.836250123066632,0.764343842713557
"Cstb",67,1.20414308465388e-260,2.94481401418598e-258,0.839216116177694,0.813632802032273,0.667841688677049,0.839216116177694,0.830047073829836
"mt-Nd3",69,2.06804853849025e-266,5.29838959486298e-264,0.854331988796445,0.854331988796445,0.758485157036665,0.771183276065164,0.698101783875394
"mt-Co3",70,9.52126681865316e-280,2.56133979005292e-277,0.866187783271457,0.800391887840545,0.716488137510369,0.866187783271457,0.840976820095168
"Eno3",73,5.82415384327859e-254,1.34775929958283e-251,0.19203761308527,0.19203761308527,0.366027088764248,0.206028205126415,0.200693294585572
"Gsta1",74,1.20504036924945e-202,2.19776896496755e-200,0.846860642563152,0.820583439260435,0.762490786820328,0.813005576925897,0.846860642563152
"Slc7a3",76,4.71159022203007e-208,9.05340474717049e-206,0.846580947120799,0.829811296995405,0.627028606418878,0.846580947120799,0.840345552261851
"Klf4",76,3.25471161806628e-256,7.69721414641799e-254,0.839082017189528,0.808108441132857,0.501250600099887,0.839082017189528,0.740835522353506
