"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"AI463229",16403,1,1,0.493484581533315,0.493484581533315,0.508584667441174,0.495287333528378,0.495761849022235
"Gm31600",16404,1,1,0.500099561927519,0.500099561927519,0.500100908173562,0.5,0.500117315814172
"Rreb1",16405,1,1,0.533501660355597,0.533501660355597,0.509010288117834,0.55218810725964,0.525800416361762
"Gm46411",16406,1,1,0.500695660457864,0.500695660457864,0.499802242559165,0.499993611008895,0.500187005282899
"Ssr1",16407,1,1,0.40833677583152,0.40833677583152,0.491555915869356,0.401172886099301,0.42526029485333
"Cage1",16408,1,1,0.504023002040887,0.504023002040887,0.498198087529373,0.503328280327982,0.504559503805982
"Riok1",16409,1,1,0.479636641929479,0.479636641929479,0.489706237329358,0.470543643791751,0.456781997841439
"Dsp",16410,1,1,0.503196722911464,0.503196722911464,0.508355836519082,0.502538698782461,0.500685300609742
"Snrnp48",16411,1,1,0.436461429062153,0.436461429062153,0.47983379450752,0.433058629990832,0.428022935397925
"Bmp6",16412,1,1,0.572979715039654,0.572979715039654,0.529095853088021,0.572553452813286,0.577588598127897
"4930579J19Rik",16413,1,1,0.500099561927519,0.500099561927519,0.5,0.500131061598951,0.5
"Txndc5",16414,1,1,0.498508719333388,0.498508719333388,0.523181596542564,0.480507642001437,0.496635967466081
"Gm31834",16415,1,1,0.501355251597287,0.501355251597287,0.499979759228905,0.500372342022594,0.501833645550487
"Bloc1s5",16416,1,1,0.509162349487508,0.509162349487508,0.491704186909678,0.500464441249561,0.513463974107269
"Gm47400",16417,1,1,0.499899111994597,0.499899111994597,0.499802188798816,0.499731452898472,0.499835057840384
"Eef1e1",16418,1,1,0.455069166100697,0.455069166100697,0.493258963059652,0.47593951336137,0.48221552883869
"Gm46392",16419,1,1,0.499566796876906,0.499566796876906,0.499870760122939,0.499598296548339,0.499701835326848
"Gm47509",16420,1,1,0.499765947253502,0.499765947253502,0.499971695176675,0.499991376607634,0.499701835326848
"Slc35b3",16421,1,1,0.501681891101635,0.501681891101635,0.484848290985411,0.520092294737077,0.511258693058079
"Gm26514",16422,1,1,0.499084688001456,0.499084688001456,0.498038661216801,0.499387704229512,0.49898178373539
"5033403F01Rik",16423,1,1,0.500052353554854,0.500052353554854,0.497696718522107,0.49756230313703,0.49847261310132
"Gm47348",16424,1,1,0.499533061455541,0.499533061455541,0.500141255314882,0.499465070373166,0.499803088187241
"Gm47316",16425,1,1,0.5,0.5,0.5,0.500131061598951,0.5
"Ofcc1",16426,1,1,0.500099561927519,0.500099561927519,0.500100908173562,0.500262123197903,0.5
"Gm9979",16427,1,1,0.5,0.5,0.5,0.5,0.500117315814172
"Tfap2a",16428,1,1,0.496300852699905,0.496300852699905,0.493849090401789,0.49839608393249,0.497101605620359
"Gm47061",16429,1,1,0.501820704934516,0.501820704934516,0.499947691181206,0.49997681808692,0.50111525025582
"Gm26688",16430,1,1,0.499300387830042,0.499300387830042,0.499301706837295,0.499331844197993,0.499200852424081
"Gcnt2",16431,1,1,0.459589977779178,0.459589977779178,0.52905910789003,0.467974571117152,0.487305297624658
"Gm31683",16432,1,1,0.501350902061828,0.501350902061828,0.501202565228774,0.502056487060373,0.501104374948592
"A730081D07Rik",16433,1,1,0.50046303987548,0.50046303987548,0.499769959470074,0.500646789339951,0.500640518094636
"Pak1ip1",16434,1,1,0.47799315404336,0.47799315404336,0.472776243517174,0.496788397312853,0.534178621796066
"Tmem14c",16435,1,1,0.475155055634802,0.475155055634802,0.508600338582673,0.483659230067221,0.489379668725642
"Mak",16436,1,1,0.499833152880655,0.499833152880655,0.499834498768082,0.499733617474694,0.499968217852154
"Elovl2",16437,1,1,0.497601310759032,0.497601310759032,0.499019276848052,0.497989527640591,0.49767224674097
"Smim13",16438,1,1,0.566658673069183,0.566658673069183,0.491351062062559,0.558689830890737,0.555471942082364
"Nedd9",16439,1,1,0.494800209923433,0.494800209923433,0.499325280749978,0.490807847775828,0.496470181532628
"Gm26877",16440,1,1,0.499830208987753,0.499830208987753,0.501456179671385,0.499851517053719,0.500341697152945
"Gm48570",16441,1,1,0.500099561927519,0.500099561927519,0.500403632694248,0.500131061598951,0.5
"Gm32401",16442,1,1,0.500099561927519,0.500099561927519,0.500100908173562,0.500262123197903,0.5
"Tmem170b",16443,1,1,0.488634372108487,0.488634372108487,0.492543332184654,0.491335794898722,0.499400795572475
"Gm5082",16444,1,1,0.5,0.5,0.500100908173562,0.500131061598951,0.500234631628343
"Adtrp",16445,1,1,0.500099561927519,0.500099561927519,0.5,0.5,0.5
"1700061E18Rik",16446,1,1,0.499966370664866,0.499966370664866,0.499866808737347,0.499997870336298,0.499866808737347
"Gm28707",16447,1,1,0.499732264875252,0.499732264875252,0.499838584554544,0.500251509791914,0.500037907320882
"Hivep1",16448,1,1,0.512410365091519,0.512410365091519,0.488554072427016,0.515683576661958,0.504394624148132
"Edn1",16449,1,1,0.483603073487842,0.483603073487842,0.486660794244632,0.486824748228364,0.484203928760988
"Gm47118",16450,1,1,0.500099561927519,0.500099561927519,0.5,0.5,0.5
"Phactr1",16451,1,1,0.488503594307583,0.488503594307583,0.489931896390907,0.490212694052513,0.488459142720782
"Tbc1d7",16452,1,1,0.490012379202261,0.490012379202261,0.477385279448978,0.472701097859094,0.488931312309573
"Gfod1",16453,1,1,0.494389788818384,0.494389788818384,0.481137187269335,0.514723237982587,0.495452371529496
"Sirt5",16454,1,1,0.516775707398899,0.516775707398899,0.506713162199809,0.517015803501167,0.5387642513401
"Gm47683",16457,1,1,0.500099561927519,0.500099561927519,0.500100908173562,0.5,0.5
"Gm32939",16458,1,1,0.5,0.5,0.5,0.5,0.500117315814172
"Mcur1",16459,1,1,0.549381310406826,0.549381310406826,0.471635072606038,0.548973537008318,0.560066103117413
"Rnf182",16460,1,1,0.505130754461934,0.505130754461934,0.501926609598265,0.50451659776099,0.5020386513419
"Gm20751",16461,1,1,0.5,0.5,0.5,0.5,0.500117315814172
"Cd83",16462,1,1,0.499334043686734,0.499334043686734,0.499838584554544,0.499465105285686,0.499334043686734
"Gm33195",16463,1,1,0.499897838959829,0.499897838959829,0.499402668771205,0.499594037220936,0.49978743149494
"A330076C08Rik",16464,1,1,0.500663304157498,0.500663304157498,0.499967716910909,0.500915301528959,0.500336071994034
"Gm29676",16465,1,1,0.500563636143749,0.500563636143749,0.499866808737347,0.499866808737347,0.500570609869729
"Gm33958",16466,1,1,0.49960042621204,0.49960042621204,0.49960042621204,0.49960042621204,0.49960042621204
"Jarid2",16467,1,1,0.445464092250889,0.445464092250889,0.474489532053801,0.44725912281596,0.456006163424117
"Dtnbp1",16468,1,1,0.551924701266479,0.551924701266479,0.473273231056063,0.559634563673802,0.547009203009985
"Gm9817",16469,1,1,0.498997670770719,0.498997670770719,0.499818236262753,0.500754250075586,0.49976155576395
"Mylip",16470,1,1,0.49974998127578,0.49974998127578,0.491647308461287,0.493831551281953,0.500082096069214
"Gmpr",16471,1,1,0.505795278611085,0.505795278611085,0.503580519830311,0.497605140798701,0.515361152702564
"Atxn1",16472,1,1,0.501018401293234,0.501018401293234,0.479737025880769,0.522262771174269,0.499571331640119
"Gm47460",16473,1,1,0.500099561927519,0.500099561927519,0.5,0.500131061598951,0.5
"4930453C13Rik",16474,1,1,0.499732238353695,0.499732238353695,0.499535833153684,0.499727228483589,0.499568675315078
"5033430I15Rik",16475,1,1,0.464966746210122,0.464966746210122,0.48042204023747,0.474503282125977,0.470332661897699
"Gm10113",16476,1,1,0.5,0.5,0.5,0.500131061598951,0.5
"Stmnd1",16477,1,1,0.498567172846508,0.498567172846508,0.499378745416258,0.498923751755227,0.498972314717891
"Rbm24",16478,1,1,0.505669884686389,0.505669884686389,0.594026472670658,0.497193801491603,0.543146531389512
"Cap2",16479,1,1,0.614809038419553,0.614809038419553,0.634441244509052,0.606245570474063,0.625336290750214
"Gm47523",16480,1,1,0.499799550067078,0.499799550067078,0.500407718480711,0.499731487810992,0.499717742026212
"Fam8a1",16481,1,1,0.470401596852379,0.470401596852379,0.512899419226958,0.463769567594479,0.48022787893758
"Nup153",16482,1,1,0.423480770915908,0.423480770915908,0.514697998555997,0.432950750304961,0.44421564284191
"Kif13a",16483,1,1,0.543379561469226,0.543379561469226,0.520472720117714,0.539932311606807,0.540904811810934
"Gm48250",16484,1,1,0.5,0.5,0.500100908173562,0.5,0.5
"Nhlrc1",16485,1,1,0.504136089962821,0.504136089962821,0.504829157677488,0.504411615814254,0.506026263991958
"Tpmt",16486,1,1,0.53381111389057,0.53381111389057,0.536112250531824,0.534632311816282,0.544206217575647
