"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.3","logFC.4","logFC.5"
"Elovl6",505,1,1,0.588044466904705,0.327785850781923,0.588044466904705,0.546292949572654,0.426761729331707
"Fam126b",506,1,1,0.0177924239564846,0.0177924239564846,-0.00233476742594094,-0.0092478596181855,-0.0774805673745418
"Plp1",506,7.78490006363048e-07,1.72187907779436e-05,-0.927990490559228,-0.0169036453298537,-0.110564120277754,-0.100966448199802,-0.927990490559228
"Cited2",506,4.05530911203001e-13,1.05149767951804e-11,-0.731028461382386,-0.35990718456597,-0.731028461382386,-0.293307513955965,0.630423942010571
"Ndufb3",507,1,1,0.114337847351317,0.114337847351317,0.176477239110764,0.302040148503447,0.227344760888307
"Mrpl42",507,2.02249288714062e-07,4.55770360462338e-06,0.659181023499339,0.224332133972932,0.659181023499339,0.549609338802031,0.589186620708012
"Smarcc1",507,9.04961853059532e-07,1.99955688292548e-05,0.783128737108886,-0.0290151622921999,0.417052553434373,0.244068298636261,0.783128737108886
"Als2cr12",508,1,1,-0.0449551593716334,-0.0449551593716334,-0.000314585143496117,0.000989573406124322,-0.0522092991981198
"Oat",508,9.76445788528092e-07,2.155291263068e-05,-0.779622971108345,-0.247333224607069,-0.00747772128811319,-0.193607577783359,-0.779622971108345
"Cflar",509,1,1,-0.501114948605725,-0.127928001248243,-0.308393544353964,-0.191843108625179,-0.501114948605725
"Washc2",509,1.04165786783769e-08,2.39759561216416e-07,-0.681892655796726,-0.170137623956325,-0.681892655796726,-0.540822996776261,-0.129359365308259
"Lbx1",509,1.04290175500605e-06,2.29961974072595e-05,0.650074268251111,-0.0685247446419499,0.0651630376125807,0.11304040947301,0.650074268251111
"Casp8",510,1,1,-0.183467910213037,-0.183467910213037,0.128873694475406,-0.0136784260569688,-0.157948960026254
"Degs1",510,1.3482981232059e-06,2.96998197640882e-05,-0.775936991072373,-0.176690466011638,-0.343774069149174,-0.361996648532076,-0.775936991072373
"Cr1l",510,1,1,-0.544256518818137,-0.101551483095307,-0.488970660271531,-0.544256518818137,-0.384641241199953
"Kif20a",510,2.37089190178671e-12,6.07428150218476e-11,0.691564917683491,-0.0925291257968328,0.691564917683491,0.3263396570748,0.250718072585714
