"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"Eif2s2",266,8.90094927021703e-06,0.000440361676423772,0.250540789044853,0.250540789044853,0.459984586821915,0.405040627433567,0.451839450371482
"Rad51ap1",267,4.2907506886219e-14,2.44936990901412e-12,0.708401891559928,0.693697579288869,0.489397398497724,0.510671884627395,0.708401891559928
"Rabac1",268,3.34386710660157e-25,2.16757120485458e-23,0.268824099906071,0.339197480631136,0.508839689899175,0.502553990036519,0.268824099906071
"Tpm2",270,7.32604807318754e-25,4.72047546655897e-23,0.708285727137303,0.629757322071483,0.509020388925686,0.536251964841324,0.708285727137303
"Tmbim6",272,4.39115888926773e-24,2.82095911808749e-22,0.263847966125394,0.358888478987109,0.541252042781095,0.514885933147086,0.263847966125394
"Aldh18a1",273,0.000131585448482772,0.00632109472499495,0.294220384897772,0.294220384897772,0.494170446888214,0.468251822436465,0.363474606245042
"Anapc13",274,1.70891518863814e-22,1.08169305219651e-20,0.716388381266275,0.550941970365709,0.500360197568445,0.460366643923003,0.716388381266275
"Lsm2",274,0.000144825398698131,0.00694162005653113,0.705696268406901,0.705696268406901,0.502547532664924,0.539252628649802,0.689328568576367
"Txnrd1",275,2.20231191804159e-22,1.38991069760039e-20,0.262548303712997,0.578603328000592,0.510094561648276,0.617041072775798,0.262548303712997
"Grb10",276,1.93703222440524e-21,1.21182763085539e-19,0.285364083700339,0.405139525341776,0.480469603469505,0.464294270858154,0.285364083700339
"Acot2",277,1.230673810538e-07,6.36666612417989e-06,0.243028728999965,0.256800049509705,0.512794686342087,0.434336899808837,0.243028728999965
"Tuba1a",277,2.08304281332116e-21,1.29564058917586e-19,0.72349024441631,0.498686747031527,0.482725235699488,0.512804990748356,0.72349024441631
"Slc2a1",278,4.13001539610892e-21,2.56144268990376e-19,0.282221756503669,0.322470453917998,0.541280280266173,0.533204299953971,0.282221756503669
"Rgs12",280,6.93021326334444e-20,4.23707726251238e-18,0.707336308415587,0.656207118547212,0.55806665612328,0.504390629610754,0.707336308415587
"Ppp3ca",281,1.90174693926988e-11,1.04673902506463e-09,0.298758716840362,0.314412226968242,0.508028501591686,0.437094685775829,0.298758716840362
"Calm1",282,3.49249629774253e-19,2.12322070123494e-17,0.242709674661113,0.510804568877765,0.476153287266043,0.545665799716349,0.242709674661113
"Supt16",283,1.76761524887086e-09,9.46289745546017e-08,0.719118589978204,0.707544744597032,0.488746057321573,0.537155310626673,0.719118589978204
"Jam2",283,5.46648417041935e-19,3.31392129103085e-17,0.728346898579654,0.630781393352599,0.510709209752319,0.527690993976573,0.728346898579654
"Mest",286,5.04479170226021e-18,3.02420507588695e-16,0.734039167460722,0.66742187051042,0.483420707732634,0.507268534637179,0.734039167460722
"Fasn",287,6.044782297637e-18,3.61360443965128e-16,0.711812723006518,0.642202743850368,0.4731216722437,0.541448013536311,0.711812723006518
"Tpp1",290,7.86973412110382e-18,4.69153872632343e-16,0.286463508352275,0.35383611805332,0.536334022829041,0.509156333437427,0.286463508352275
"Rps5",292,1.39863830958722e-07,7.21824821597761e-06,0.236854218635659,0.245295935020119,0.553528145882886,0.472369205715406,0.236854218635659
"Myadm",295,9.91078826986914e-17,5.85961742735862e-15,0.29528123671933,0.353295489754264,0.461503017130915,0.455280038595081,0.29528123671933
"Ncl",297,2.07752935311838e-16,1.22159861225303e-14,0.744848240464386,0.691026968724092,0.508426723204271,0.520404682092365,0.744848240464386
"Htra1",302,3.33760105326193e-15,1.93607849776954e-13,0.24516329004803,0.329911497383259,0.545176165892354,0.491441295091835,0.24516329004803
"Ctnnbip1",303,3.59007983338086e-15,2.07693838962875e-13,0.705614767585225,0.629916259477472,0.457723317533912,0.487443890710064,0.705614767585225
"Cks1b",304,2.87710367576844e-08,1.51019873673689e-06,0.717254654904674,0.700806984083353,0.48442974111811,0.537713506839264,0.717254654904674
"Ddx39b",304,9.11586562740008e-15,5.25958563451145e-13,0.728416995056594,0.682043991302045,0.510913709690468,0.53148834008822,0.728416995056594
"Ahsa2",306,3.73623139158913e-14,2.13849563240398e-12,0.711664944887142,0.634117190115259,0.479228015343237,0.545083542315268,0.711664944887142
"Ranbp1",311,8.87018441117715e-14,5.03681368635735e-12,0.753964999394248,0.699953484185226,0.490256606188341,0.498747766981546,0.753964999394248
"Zfp326",313,2.96436574309587e-12,1.66569491271974e-10,0.705121625741781,0.674609397761856,0.506591573746551,0.525391865655032,0.705121625741781
"Hnrnpd",314,4.72911036371502e-12,2.64351127629898e-10,0.73269036060195,0.66795367788391,0.490848679962816,0.562535589534626,0.73269036060195
"Ddrgk1",315,7.95313499506336e-12,4.4341818193979e-10,0.289827529249565,0.34563123065776,0.534638755922173,0.514528332493294,0.289827529249565
"Hacd1",318,3.82696696792151e-11,2.09567827268801e-09,0.711132020707184,0.66661010423963,0.557753460135822,0.583748867722518,0.711132020707184
"Avil",320,2.02574912742893e-10,1.10650119216746e-08,0.231796398457336,0.349690765274568,0.518695041946497,0.489183140871858,0.231796398457336
"Hist1h2ae",321,5.41066096986031e-10,2.91836678527227e-08,0.730576115067067,0.678898537655306,0.522668358827972,0.522409002453961,0.730576115067067
"Taf15",327,2.25447562524862e-09,1.20095470126177e-07,0.297202644008345,0.327752179009734,0.495470493393942,0.430479377365589,0.297202644008345
"Gpr137b",338,6.22745519075886e-08,3.23722374783385e-06,0.271506967637547,0.366699117224274,0.528685709483776,0.527098434649158,0.271506967637547
"Hspa8",339,6.66802132074105e-08,3.45789124924502e-06,0.749988144863718,0.72813093629202,0.516114469858181,0.667074585572893,0.749988144863718
"Pir",343,1.55527617838615e-07,8.00743986484408e-06,0.288819657014729,0.443258602612682,0.493263950544211,0.508840150732367,0.288819657014729
"Igfbp2",344,4.28376373964018e-07,2.18980711260799e-05,0.742123972581377,0.52799299630566,0.500390131390427,0.502625636313314,0.742123972581377
"Itpr2",347,1.88644631958102e-06,9.4634525043597e-05,0.27970059070935,0.334268431816255,0.494205756793307,0.468465499806483,0.27970059070935
"Map1lc3b",348,1.98867777774298e-06,9.95310103600153e-05,0.285780206940288,0.366081471595615,0.563159999018734,0.545148390722305,0.285780206940288
"Denr",349,5.59707287577782e-06,0.00027818615556493,0.724363625832167,0.567156057243186,0.523267244047554,0.503473267599101,0.724363625832167
"Hnrnpa3",350,7.50221457764874e-06,0.000372016497524374,0.719277692802707,0.605783874865828,0.480863884360974,0.468081011358563,0.719277692802707
"Pgm2",354,1.14007167845386e-05,0.000560170835433914,0.298835761965413,0.437135513930432,0.471770813923325,0.495765464429528,0.298835761965413
"Grina",355,1.40860396063558e-05,0.000690536807217275,0.285939893239061,0.37442857883436,0.508921818702819,0.501323855934872,0.285939893239061
"Fh1",356,1.45382512850804e-05,0.000709473256023163,0.701825765247721,0.629817481185709,0.507765412786622,0.52045425281273,0.701825765247721
"Tnnt3",360,4.0001104153102e-05,0.00193888234792547,0.750603126743129,0.648116199921154,0.501243127878227,0.500978472758343,0.750603126743129
"Dusp18",364,8.18995502213983e-05,0.00394308774119623,0.277932716717726,0.338596150700791,0.480011983967789,0.505519963684892,0.277932716717726
"Hist1h4d",369,0.000367412873080018,0.0175323557462418,0.709904337802322,0.653861395329772,0.509452328496424,0.496836771326763,0.709904337802322
"Eif4a1",370,0.000453975481536266,0.0215198377492114,0.748112911606619,0.677922388714681,0.568423027799569,0.594407927502845,0.748112911606619
"Pcbp4",373,0.00070579667013585,0.0333834068966893,0.707373279466989,0.596184256476348,0.503687601551861,0.517346575116414,0.707373279466989
"H2afy",376,0.000946140903111973,0.0442649964692886,0.707999983874893,0.604173503386311,0.484269633011864,0.505123608165367,0.707999983874893
