"","d0_mature_skeletal_muscle","d0_MuSCs_and_progenitors","d5_mature_skeletal_muscle","d5_MuSCs_and_progenitors","d7_mature_skeletal_muscle","d7_MuSCs_and_progenitors"
"130","Gpi1","Cd82","Myod1","Anp32b","Strap","Srsf3"
"131","Atp5j2","Hnrnpf","Vasp","Snrpd2","Myl6","Rpl29"
"132","Zcrb1","Eif5","Arpc2","Capns1","Psma2","Cdk4"
"133","Smdt1","Nedd4","Maged1","Arpc2","Rap1a","Polr1d"
"134","Atp5c1","Gm9493","Pomp","Lyz2","Cacng1","Htra3"
"135","Coq9","Csrnp1","Ctsb","Rpl15","Gstm1","Ctsl"
"136","Cox6b1","H2-K1","Dbn1","Morf4l2","Aimp1","Krtcap2"
"137","Ccng1","Ppp1r14b","Tuba1a","Ctsb","Asph","Fus"
"138","Mrpl12","Nop58","Use1","Snrpb","Akr1b3","Use1"
"139","Phlda3","Gm10036","Cct8","Sfr1","Ctbp1","Tuba1b"
"140","Higd1a","Hmgn1","Srsf2","Islr","Gtf2h5","Pcbp1"
"141","Ndufs4","Dusp1","Ptov1","Dynlrb1","Atp1a2","Rhoa"
"142","Ldb3","Gadd45b","Crip2","Igfbp7","Ube2s","Fosb"
"143","Fkbp3","Atf4","H19","Arpc1b","Arl1","Spats2l"
"144","Mrpl18","Arf5","Tnnt1","H2afv","Glrx5","Ranbp1"
"145","Dnajc19","mt-Nd4l","Eif5","Cct2","Fundc2","mt-Nd5"
"146","Vdac2","Tuba1b","Rhoa","Pkig","Scand1","Tagln2"
"147","Txn2","Tmbim6","Psmb4","Rps10","Mrps16","Anp32b"
"148","Anapc5","Fgfr1","Eif3m","Hsp90b1","Rpl12","H2afv"
"149","Trim54","Hspd1","Psap","Ptms","Acadl","Prmt1"
"150","Mrpl51","Akr1a1","Eno1","Tpm4","Tomm22","Cdkn1c"
"151","Anapc13","Dag1","Cacng1","Eif3m","Fam162a","Spcs1"
"152","Vamp5","Rps19","Bri3","Gdi2","Mylpf","Lgals1"
"153","Mgst3","Tmbim1","Naa50","Nap1l1","Ampd1","Chodl"
"154","Psma7","Srsf3","Rps12-ps3","Peg3","Cltb","Hsp90b1"
"155","Ubl5","Eif4g2","Tmed9","Anxa6","Cst3","2410015M20Rik"
"156","Ndufs8","Cdkn1a","Ctsl","Btg1","Rps2","Gm11808"
"157","Aes","Cyr61","Rpl9-ps6","Rpl12","Rps10","Rpl9-ps6"
"158","Drap1","Eno1","Rps10","Phb2","Smpx","Arf4"
"159","Ndufb4","Ywhaq","Glrx3","Timp2","Hspb8","Top1"
"160","Ddit4l","Nfib","Capzb","Krtcap2","Hnrnpa2b1","Ier2"
"161","Etfa","Use1","Psma5","Lamp1","Ubxn1","Psap"
"162","Pdlim3","Prkar1a","Smim11","Dnaja1","Tpt1","Btg2"
"163","D8Ertd738e","Capns1","U2af1","Csnk1a1","Hist1h2bc","Morf4l2"
"164","Jsrp1","Meg3","Rpl15","Id3","Nedd8","Csnk1a1"
"165","1500011K16Rik","Coq10b","Cstb","Marcks","Prdx2","Eif3m"
"166","Fitm1","Top1","Junb","Arf4","Gpd1","Phb2"
"167","Suclg1","U2af1","Gnai2","Pcbp1","Pgm2","Wdr89"
"168","Ndufa13","Mafk","Med28","Jun","Lgals1","Cct4"
"169","Rwdd1","Cd200","Set","Ssr4","Fis1","Bgn"
"170","Uqcrc2","Sf3b1","Dnaja1","Rsrp1","Rps4x","Rps27rt"
"171","Ndufv1","Gnb2","Sub1","Ube2s","Ost4","Hnrnpab"
"172","Pigp","Psap","Taldo1","Tcp1","Myl1","Rpl19"
"173","Aldoart1","Sat1","Capns1","Rps4x","Pvalb","Ptms"
"174","Tsc22d3","Txn1","Rpl12","Nme1","Pfdn1","Emp3"
"175","Cox5b","Rhoa","Mrps33","Hspa5","Ank1","Eif5"
"176","Ndrg2","Gm10260","Tpm2","Prdx2","Tpm2","Atp5o"
"177","Fxyd1","Ubc","Cox5a","Cox5a","Tnni2","Cox7b"
"178","Ube2b","Gsn","Atp5o","Atp5o","Eno3","Cox5a"
"179","Gm10260","Pnrc1","Bin1","Cox7b","Tnnc2","Prdx2"
"180","Got1","Rpl23a","Cox7b","Psma7","Tpm1","Nedd8"
"181","Mlf1","Fxyd1","Rnf7","Nedd8","Tnnt3","Minos1"
"182","Pfn2","Ndrg2","Pdlim7","Minos1","Pgam2","Atp5g3"
"183","Ndufa6","Rps27","Cfl2","Ndufs2","Acta1","Ubl5"
"184","Cd24a","Htra3","Jsrp1","Atp5g3","Ckm","Hdgf"
"185","Nmrk2","Tnnc2","Atp5g3","Uqcrfs1","Tcap","Psma7"
"186","Uqcr11","Fgfr4","Minos1","Tpm2","Actn3","Rbx1"
"187","Pgm2","Zfp36l2","Prdx2","Vdac2","Cox6a2","Drap1"
"188","Map1lc3a","Atf3","Nedd8","Vdac1","Myoz1","Ndufb8"
"189","Mybpc1","Ppp1r10","Atp2a1","Psma4","Tpi1","Smdt1"
"190","Ndufb10","Rpl35","Uqcrfs1","Smdt1","Atp2a1","Psma4"
"191","Gm10053","Pax7","Cyc1","Arl6ip5","Car3","Mrpl33"
"192","Pdlim5","Itih5","Ndufa12","Idh2","Cox5a","Uqcrfs1"
"193","Hspb7","Hsph1","Srp9","Spats2l","Chchd10","Ctsb"
"194","Gng5","Rpl38","Psma7","Tma7","Cox7b","Dbi"
"195","Ndufa2","Rps28","Ndufs5","Tubb2a","Aldoa","Sec61b"
"196","Mllt3","mt-Nd3","Ndufs2","Ly6e","Ak1","Vcp"
"197","Atp5h","Rpl6","Vdac2","Capzb","Atp5o","Tspo"
"198","Trdn","Hspb1","Timm13","Prmt1","Vdac1","Npc2"
"199","Atp6v1g1","Fabp4","Ndufb8","Srp9","Ndufc1","Psmb2"
"200","Ndufb11","Pim1","Psmb2","Rac1","Cox8b","Peg3"
"201","Cib2","Rpl37","Tpi1","Cfl2","Mpc1","Tmed9"
"202","Crat","Rpl36","Smdt1","Psmb2","Pygm","Idh2"
"203","Gsn","Rps26","Psmb3","Marcksl1","Hspb6","Ndufa12"
"204","Art1","Rarres2","Dbi","Ctsd","Gapdh","Impdh2"
"205","Pkm","Sertad1","Sh3glb1","Prelid1","Cycs","Nop10"
"206","Eif1","mt-Nd4","Psmb7","Tmed9","Mb","Dynlrb1"
"207","Tob1","Snrpg","Map2k2","Mrpl33","Ndufb8","Cct2"
"208","Ppp1r27","mt-Nd1","Psmd7","Psma2","Mrpl42","Nap1l1"
"209","Ubc","Rps29","D8Ertd738e","Maged1","Ndufa5","Col1a2"
"210","Fabp4","Rpl37a","Psma4","Loxl1","Uqcc2","Psmb3"
"211","S100a1","Pvalb","Psmb5","D8Ertd738e","Ndufa12","Ndufs5"
"212","Acadm","Tob1","Vdac1","Rbx1","Ndufv2","C1qbp"
"213","Atp5l","Hspa8","Rbx1","Hnrnpab","Cox7a1","Cald1"
"214","Gyg","mt-Cytb","Ndufb7","Sh3bgrl3","Sdhb","Pomp"
"215","Acot13","Ubb","Hsbp1","Ubl5","Cfl2","Ssr4"
"216","Spop","Ckm","Ndufc1","Psmb4","Mpc2","Ndufb7"
"217","Cox17","mt-Co3","Actn3","Gpx1","Apobec2","Ssb"
"218","Park7","Eif4a2","Tma7","Fundc2","Uqcrfs1","Paip2"
"219","Eif4a2","Ahnak","Ndufb6","Ndufb8","Ndufs5","Ddah2"
"220","Mylk2","Eif1","Uqcc2","Olfml2b","Ndufs7","Hsbp1"
"221","Abra","mt-Nd2","Mrpl33","Tmem176b","Mybpc2","Anxa6"
"222","Cryab","Rpl41","Ndufv2","Nbl1","Tuba4a","Nenf"
"223","Macrod1","Lrrc58","Fundc2","P4hb","Ndufs6","Ppic"
"224","Ubac1","Gnas","Fkbp3","Dbi","Minos1","Ndufc1"
"225","Ndufab1","Neat1","Ank1","Hsbp1","Atp5g1","Metap2"
"226","Cdc34","Rps21","Ubl5","Psmd8","Ndufv3","Tubb2b"
"227","Des","Hmgb1","Mylpf","Vcp","Ndufb2","Timp2"
"228","Card19","Hnrnpu","Uqcrc2","Ndufs5","Bola3","Psma2"
"229","Rpl23a","Sec62","Pdcd5","Paip2","Ndufa3","D8Ertd738e"
"230","Vgll2","Myl12b","Ndufs3","Timm13","Eef1a2","Hnrnpdl"
"231","mt-Nd3","mt-Atp6","Ndufa10","Hnrnpc","Cisd1","Srp9"
"232","mt-Co3","Actn4","Timm17a","Arhgdia","Ndufb7","Timm13"
"233","mt-Cytb","Rabac1","Hdgf","Reep5","Adssl1","Tcp1"
"234","mt-Nd4","Ftl1","Psmc3","Ndufv2","Cyc1","Srsf11"
"235","mt-Nd1","Id1","Paip2","Arpc3","Tcea3","Tma7"
