"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Wdr17",11648,1,1,0.499816247555065,0.499816247555065,0.499548765054093,0.497827930046451,0.499687559096552
"Gpm6a",11649,1,1,0.499888929111629,0.499888929111629,0.500042865890998,0.500099547751268,0.489679090303643
"Hpgd",11650,1,1,0.4998505678422,0.4998505678422,0.499782608695652,0.499647017296152,0.5
"4930518J21Rik",11651,1,1,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615
"Cep44",11652,1,1,0.510350667463638,0.510350667463638,0.560410519153569,0.49252821790136,0.516010129662975
"Fbxo8",11653,1,1,0.496858950074225,0.496858950074225,0.520522174593455,0.494863836507692,0.457908783700451
"Hand2",11654,1,1,0.5,0.5,0.5,0.5,0.485989492119089
"Gm34030",11655,1,1,0.5,0.5,0.5,0.5,0.499124343257443
"5033428I22Rik",11656,1,1,0.5,0.5,0.5,0.5,0.491243432574431
"Gm34099",11657,1,1,0.4998505678422,0.4998505678422,0.5,0.5,0.5
"Scrg1",11658,1,1,0.5,0.5,0.5,0.5,0.498248686514886
"Galnt7",11661,1,1,0.519065017721391,0.519065017721391,0.582014329454991,0.545612690142502,0.550184093469163
"Gm45359",11662,1,1,0.50045230939332,0.50045230939332,0.500461332244676,0.500486386965161,0.498999860223806
"Gm45356",11663,1,1,0.5,0.5,0.5,0.499911754324038,0.5
"Galntl6",11664,1,1,0.500264515966089,0.500264515966089,0.50005609308022,0.499592578414362,0.500562558068786
"Gm26905",11665,1,1,0.500093896713615,0.500093896713615,0.500021432945499,0.500093896713615,0.500093896713615
"BC030500",11666,1,1,0.50006462765435,0.50006462765435,0.498872940055794,0.498939858707487,0.499657137219112
"Aadat",11667,1,1,0.486427098153776,0.486427098153776,0.505020289855072,0.505524345034793,0.505002836634518
"Gm45650",11668,1,1,0.499944436493438,0.499944436493438,0.500021432945499,0.500005651037653,0.500093896713615
"B230317F23Rik",11671,1,1,0.497281737846886,0.497281737846886,0.498850840307546,0.498580247220468,0.500438897248053
"Nek1",11672,1,1,0.498946987363512,0.498946987363512,0.491191127440974,0.449040748787347,0.506018434013303
"Gm16178",11673,1,1,0.501617010290474,0.501617010290474,0.498006531945295,0.499153852400199,0.489793706782434
"Sh3rf1",11674,1,1,0.480257837120351,0.480257837120351,0.54744304279785,0.52334990529126,0.503928204369239
"1700001D01Rik",11675,1,1,0.499701135684399,0.499701135684399,0.5,0.5,0.499124343257443
"Cbr4",11676,1,1,0.515426421850489,0.515426421850489,0.523679907464108,0.510945877642606,0.518653708591303
"4930512H18Rik",11677,1,1,0.5,0.5,0.499782608695652,0.5,0.5
"Ddx60",11678,1,1,0.499982713575736,0.499982713575736,0.500136762604613,0.49992869086504,0.500281690140845
"Spock3",11679,1,1,0.500076638351728,0.500076638351728,0.50037558685446,0.500287341178498,0.497748123299047
