"","Top","p.value","FDR","summary.logFC","logFC.2","logFC.3","logFC.4","logFC.5"
"Slc35e3",11992,1,1,-0.0350424536732935,-0.0350424536732935,-0.0143328390753642,-0.0153140880634517,-0.0403994341672736
"Gm32552",11994,1,1,0,0,-0.000206538213414244,0,0
"Gm40773",11995,1,1,-0.000353293814994638,-0.000353293814994638,0,-0.000187026499803938,0
"4933411E08Rik",11996,1,1,-0.000143166383649902,-0.000143166383649902,0,0,0
"5330439M10Rik",11997,1,1,0.00121816499524487,0.00121816499524487,0.00139603883474354,0.000618547476968094,0.0015446453653054
"Mdm1",11998,1,1,-0.0303198929824305,-0.0303198929824305,-0.030754911124295,0.0522762883624413,-0.0446274356290206
"Gm47958",11999,1,1,-0.000156525810842442,-0.000156525810842442,-9.81336652662914e-05,0,0
"Gm32802",12000,1,1,0.00157009275257048,0.00157009275257048,0.00157009275257048,0.00157009275257048,0.00157009275257048
"Gm9049",12001,1,1,-0.000143780000744155,-0.000143780000744155,0,0,0
"Ifng",12002,1,1,0,0,0,0,-0.000354784758952414
"Dyrk2",12003,1,1,-0.215769092792642,-0.215769092792642,-0.199857407315724,-0.172959866939512,-0.131540517392333
"Gm38403",12004,1,1,-0.00240100991377945,-0.00240100991377945,0.0036483444142973,-0.000402298526439584,0.00635613170710443
"Gm34045",12005,1,1,0.000866101399437391,0.000866101399437391,0.000866101399437391,0.000866101399437391,0.000866101399437391
"Cand1",12006,1,1,-0.0391464448787948,-0.0391464448787948,-0.253500940787017,0.136578128193516,-0.239168593450979
"Grip1os3",12007,1,1,-0.000407340492536774,-0.000407340492536774,-0.000252010616129434,-0.000267136937755029,-0.000525234303339966
"Gm16321",12008,1,1,-0.000132162990182796,-0.000132162990182796,0,0,0
"Grip1",12009,1,1,-0.0529213860599908,-0.0529213860599908,-0.029835092269769,-0.0734929619576481,-0.0250992220500736
"Grip1os1",12010,1,1,0,0,0,-0.000204484646446675,0
"Helb",12011,1,1,-0.022136587647731,-0.022136587647731,-0.0515302632908417,0.021078130501015,-0.0314076297199556
"Irak3",12012,1,1,0.015161777802825,0.015161777802825,0.0302825988990374,0.00534751078819388,0.0337408328448058
"1700006J14Rik",12014,1,1,-0.0354460732658781,-0.0354460732658781,-0.0159646593772967,-0.0640095713966319,-0.0132790958443705
"9230105E05Rik",12015,1,1,-0.00206235494465534,-0.00206235494465534,-0.00257232260305213,-0.00260489177739572,-0.00137059891766231
"4930471E19Rik",12016,1,1,-0.052540059427172,-0.052540059427172,-0.0812987769272078,-0.0517032578641836,-0.160495118205811
"4921513I03Rik",12017,1,1,0,0,0,0,0
"Gm15910",12018,1,1,0.0162239101131392,0.0162239101131392,0.0166947227309402,0.0153473837651881,0.0169124836515282
"Lemd3",12019,1,1,0.0245647651215376,0.0245647651215376,0.0265028416142331,0.0465036773179648,0.00610606017943247
"Wif1",12020,1,1,-0.000578095435599361,-0.000578095435599361,-0.000758113499013017,-0.000628838064516989,-0.00022209990414349
"Tbc1d30",12021,1,1,0.00199022054827112,0.00199022054827112,0.000979926005727198,0.000561363574426679,-0.00154375196409887
"Rassf3",12023,1,1,-0.0219821251825374,-0.0219821251825374,-0.0270052408281796,0.00629710246278298,-0.0146352297823979
"Gm40787",12024,1,1,-0.000143201390980607,-0.000143201390980607,0,0,0
"Gm35696",12025,1,1,-0.000514355926443448,-0.000514355926443448,-0.000662740737392216,-0.000713275853227114,-0.000571680332011789
"Tbk1",12026,1,1,0.0373477522322199,0.0373477522322199,0.0518746314763465,0.0386613395402795,0.0271932282548861
"BC048403",12027,1,1,-0.0178351724367291,-0.0178351724367291,0.000791099230299054,-0.00382128270549015,-0.0122751000000802
"Srgap1",12028,1,1,0.0273528484099311,0.0273528484099311,0.328204277131182,-0.0519689902873535,0.341662298671595
"Tmem5",12029,1,1,-0.00560975082577952,-0.00560975082577952,0.185951737231947,-0.0572286899497854,0.130605464999064
"Gm36041",12030,1,1,0.000837194772224011,0.000837194772224011,8.87115138069542e-05,0.00108014156736185,0.00125567190177922
"Avpr1a",12031,1,1,-0.00228497192605971,-0.00228497192605971,-0.0338481547209796,-0.00629302988453833,-0.0778214086638399
"A130077B15Rik",12032,1,1,-0.000415950686192321,-0.000415950686192321,-8.87240957357297e-05,-0.000141005843384323,-0.000327955622566805
"Ppm1h",12033,1,1,0.00807212574748347,0.00807212574748347,0.0491181111833845,-0.00548921395664114,0.0546356336601153
"Gm36208",12034,1,1,0.000488350318979925,0.000488350318979925,0.000455866689446913,0.000496924016337232,0.000396972849769039
"Mon2",12035,1,1,0.0500279116666864,0.0500279116666864,0.0762290784924268,0.0638565092881891,0.0369972257020117
"Fam19a2",12037,1,1,0.00375519713280644,0.00375519713280644,0.00623863713968473,0.00201220488285081,-0.000650111518029678
"Slc16a7",12038,1,1,0.00888224247962832,0.00888224247962832,0.00759927861326214,0.00961828647970244,0.00745896017346292
"Lrig3",12039,1,1,0.0662561580269336,0.0662561580269336,0.0541020593894868,0.103284732625271,0.0338435467162796
"Gm47966",12040,1,1,-0.000153845920058405,-0.000153845920058405,0,0,0
"4930484H19Rik",12041,1,1,-0.000465091774583759,-0.000465091774583759,0,-0.000578606636371516,0
"Atp23",12042,1,1,-0.167409423277724,-0.167409423277724,-0.181321859057178,-0.100505760572544,-0.176369254644883
"Gm49335",12043,1,1,0.00108143892280681,0.00108143892280681,0.00026913342990347,0.000864128443201666,0.0012351635796845
"Gm47972",12044,1,1,-0.000247133601958971,-0.000247133601958971,0.000222661313829664,-0.00108510527561469,-0.000572330440323032
"Ctdsp2",12045,1,1,0.289209859572011,0.289209859572011,0.0610492282465556,0.295517618691662,0.0621510173177445
"Eef1akmt3",12046,1,1,0.0215645100507338,0.0215645100507338,0.0275145361851421,0.0165820575442048,0.0226983049609124
"Cyp27b1",12048,1,1,-0.000218959350078063,-0.000218959350078063,0.000118071445006354,-0.000747759236357815,0.00028621729114304
"March9",12049,1,1,-0.118622023338802,-0.118622023338802,-0.027462353459684,-0.192448422190161,-0.00155630373360872
"A730063M14Rik",12051,1,1,0.0038703435898611,0.0038703435898611,-0.00532655589238371,-0.00444195033508212,-0.00957722101136781
"Agap2",12052,1,1,0.00163157053404487,0.00163157053404487,0.000526592579399061,0.00168150582675234,-0.00123384666383531
"B4galnt1",12054,1,1,0.00641157853917351,0.00641157853917351,0.0178752266793151,-0.0260161795839613,0.0556864180608975
"Slc26a10",12055,1,1,-0.00171364320789908,-0.00171364320789908,-0.00126995009832792,-0.00138922826032924,-0.0034762031965217
"Arhgef25",12056,1,1,0.221678211571522,0.221678211571522,0.321242221101675,0.160135621293102,0.31612831382768
"Dtx3",12057,1,1,-0.131147616966539,-0.131147616966539,0.0724631954507388,-0.120396603977176,0.0786591190887334
"F420014N23Rik",12058,1,1,0.0166937750319041,0.0166937750319041,0.0180908963243927,0.0133277122339014,0.0119240186490753
"Pip4k2c",12059,1,1,-0.121467354122387,-0.121467354122387,-0.0102479821762265,-0.147746313817207,0.00683222132584421
"Kif5a",12060,1,1,0.00726526765369783,0.00726526765369783,0.00786940250637958,0.00465012658778174,0.00643234934474509
"Mbd6",12062,1,1,-0.115599001278889,-0.115599001278889,0.0190601163449441,-0.0807626662299372,-0.0153275345523667
"Mars",12063,1,1,-0.172865858798021,-0.172865858798021,0.185349201111023,-0.009628474244878,-0.164551244305993
"Arhgap9",12064,1,1,-0.000200621672431009,-0.000200621672431009,-0.000380646990699017,-0.00105874141606453,-0.000377042906561379
"Gli1",12065,1,1,0.00339046335147321,0.00339046335147321,0.00581061942606265,0.00687245975656847,0.000706176803184345
"Inhbe",12066,1,1,-0.000307670366899899,-0.000307670366899899,-0.000973215003138308,-0.00163822063118149,-0.00126810858689523
"Inhbc",12067,1,1,0,0,-0.000190536637262053,0,0
"R3hdm2",12068,1,1,-0.166056308772941,-0.166056308772941,0.0606141113237556,-0.151983940112413,0.0550103490604799
"Ndufa4l2",12070,1,1,0.00667159580721683,0.00667159580721683,0.00967821855592129,0.00733752894156964,0.00997030985247578
"Nxph4",12071,1,1,-0.015124061815185,-0.015124061815185,0.0017074555233409,-0.00985128635440062,0.0018930854329887
"Gm16217",12072,1,1,-0.000140432685919265,-0.000140432685919265,0,-0.000580746900911751,0
"Gm16229",12074,1,1,0.0123327322763096,0.0123327322763096,0.012148378658341,0.0121211000976452,0.0122581619445794
"Nemp1",12075,1,1,-0.0188226371002629,-0.0188226371002629,0.0153867131300438,0.116813313999505,0.00572671678385769
"Gm16230",12076,1,1,0.000163680234234617,0.000163680234234617,-2.314523676926e-05,-0.00182649846629435,0.000140702845129633
"Myo1a",12077,1,1,-0.00770612022941929,-0.00770612022941929,-0.0059038223401436,-0.00291268002516552,-0.00352498941208433
"Zbtb39",12078,1,1,-0.0300536881687491,-0.0300536881687491,-0.00849152240138162,-0.0110655003040921,-0.0129294881192384
"Gpr182",12079,1,1,0,0,0,-0.000225496065565728,0
"Rdh1",12080,1,1,-0.00107142626102905,-0.00107142626102905,-0.000188869642080761,-0.00385907978804583,-0.000239175717440554
"Rdh9",12081,1,1,-0.000840687432733654,-0.000840687432733654,0,-0.000347914105687313,0
"Rdh16",12082,1,1,-0.000571419634798302,-0.000571419634798302,-0.000426814108408237,-0.00101343129073961,-0.000881654976720454
"Gm47438",12086,1,1,0.00648176575207922,0.00648176575207922,-0.00964939036024721,0.00241502535538762,-0.0205322471754567
"Baz2a",12087,1,1,-0.0930846204652369,-0.0930846204652369,-0.0469442669153158,-0.145250737930832,-0.0249279320134171
"Gls2",12089,1,1,0.0072218278874934,0.0072218278874934,0.00671422751207398,0.0363261039346783,-0.00146287595906448
"Spryd4",12090,1,1,0.0348519107454462,0.0348519107454462,0.0146183006473777,0.0362550080297347,-0.00787919588927627
"Mip",12091,1,1,0,0,0,0,-0.000234757481808408
"Gm26847",12092,1,1,0.00357234242243865,0.00357234242243865,-0.000663167760591818,0.0101247227204497,-0.00432453824156937
"Timeless",12093,1,1,-0.119874197675768,-0.119874197675768,-0.228478465460397,0.166346328663686,-0.296554365035104
"Apon",12094,1,1,-0.00026961957949869,-0.00026961957949869,-0.00104337827136775,0.000259513642786323,0.000414016113694185
"Stat2",12095,1,1,0.00408040865658663,0.00408040865658663,0.0204264821271416,0.0090547134034076,0.0104147224448838
"Il23a",12096,1,1,-0.00121110230150879,-0.00121110230150879,-0.000822136861132083,-0.00292680168580633,-0.000245186520838676
