"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"mmu_M00006",55,1,1,-0.318553005716512,-0.318553005716512,-0.270650438758,-0.254968044473023,-0.33584342779933
"mmu_M00090",56,1,1,-0.185370004392607,-0.185370004392607,0.0122148891709316,-0.173761700750599,-0.0869462617973942
"mmu_M00001",57,1,1,0.0381704052100609,0.0381704052100609,-0.0171777565508568,0.00803088238996708,0.018465911513214
"mmu_M00002",58,1,1,0.176476679699396,0.176476679699396,-0.0118701215624055,0.120550827570493,0.124406483125769
"mmu_M00005",59,1,1,0.173497781427187,0.173497781427187,-0.0300875975086593,0.183795565783213,0.156753772513059
"mmu_M00055",60,1,1,0.0131223483469073,0.0131223483469073,-0.00540388282946747,0.00824480394667371,-0.00448897932773623
"mmu_M00854",61,1,1,-0.323287940726571,-0.323287940726571,-0.160027921083785,-0.304119097752741,-0.311378116237901
"mmu_M00068",62,1,1,-0.00312600103842196,-0.00312600103842196,-0.0205566766302213,-0.00259538306635474,-0.00779641644015048
"mmu_M00095",64,1,1,0.361167166470892,0.361167166470892,0.257042505165561,0.363271601289202,0.342335826360817
"mmu_M00107",66,1,1,0.00036432949774202,0.00036432949774202,2.53321047255161e-05,0.000442223587345918,0.000465783259399705
"mmu_M00110",67,1,1,0.000287585614479187,0.000287585614479187,0.000338478356985426,0.000372294553312177,0.000325719452668539
"mmu_M00046",68,1,1,-0.00552026462415985,-0.00552026462415985,-0.00463964425460202,-0.0129076887505087,-0.0116668624839831
"mmu_M00067",69,1,1,0.0141152229829074,0.0141152229829074,0.0154110671256037,0.0128447120981113,0.0109374310150186
"mmu_M00085",70,1,1,0.0502937758665155,0.0502937758665155,0.0287085793639803,0.0234204230876958,0.0287656201542721
"mmu_M00128",72,1,1,0.0897279753473655,0.0897279753473655,-0.0408165719682743,0.0961567258872038,0.0732169911011403
"mmu_M00554",73,1,1,0.0476728180632295,0.0476728180632295,0.0190945760699514,0.0620235305843104,0.0244006381521772
"mmu_M00632",74,1,1,-0.0320083630337558,-0.0320083630337558,-0.0131327263829132,-0.022242342809667,-0.0756476149659975
"mmu_M00106",75,1,1,6.70205889390456e-05,6.70205889390456e-05,0.000687692894540392,0.00012412881007232,0.000322244630643598
"mmu_M00066",76,1,1,0.0533311200508042,0.0533311200508042,-0.106144440187482,0.125159423738882,0.10534973585545
"mmu_M00549",77,1,1,-0.166776285600628,-0.166776285600628,-0.0662454930224239,-0.152526594718519,-0.157927325664233
"mmu_M00861",78,1,1,-0.086192323454871,-0.086192323454871,-0.00569840998449161,-0.0979108516022077,-0.0858122819532151
"mmu_M00862",79,1,1,-0.0476999885606678,-0.0476999885606678,-0.0213408613291725,-0.0737292468907066,-0.0828000855976088
"mmu_M00133",80,1,1,0.148112355977301,0.148112355977301,0.0354816258220482,0.254024739139815,0.0996116635060122
"mmu_M00873",81,1,1,0.00412019186644386,0.00412019186644386,-0.0108215880130801,0.0055917935209866,-0.011236138981858
"mmu_M00057",82,1,1,-0.0823657437695706,-0.0823657437695706,-0.0133307073076055,-0.100924707492922,-0.0952512375085708
"mmu_M00051",83,1,1,0.224709433420494,0.224709433420494,-0.0718538899390611,0.242478365088248,0.161588809601579
"mmu_M00141",84,1,1,-0.223849060567162,-0.223849060567162,0.116167343812035,-0.185204256994281,-0.135496046350176
"mmu_M00077",85,1,1,-0.0106903982614449,-0.0106903982614449,-0.0370533431816146,-0.00875116862630537,-0.0334195560167069
"mmu_M00069",86,1,1,-0.0013565077949706,-0.0013565077949706,-0.0940680236269134,0.0102830828134169,-0.0130895659763089
"mmu_M00842",87,1,1,-0.184189508627078,-0.184189508627078,-0.148184263601794,-0.151565536389736,-0.193560781268164
"mmu_M00045",88,1,1,-0.00163002121789262,-0.00163002121789262,-0.00209564652093331,-0.000542644926278237,-0.00214600082516213
"mmu_M00044",89,1,1,-0.0565903195385924,-0.0565903195385924,-0.0210701357048052,-0.047922586722368,-0.0513401505472926
"mmu_M00100",90,1,1,-0.052850312938846,-0.052850312938846,-0.039794788972415,-0.0862358129695167,-0.0678914184202389
"mmu_M00037",91,1,1,-0.000944646959303755,-0.000944646959303755,-0.0167943218434584,0.00212503982554638,0.000806602134150184
"mmu_M00741",92,1,1,-0.0962710070500211,-0.0962710070500211,-0.0321423206607302,-0.104019957596067,-0.0900015021368906
"mmu_M00103",93,1,1,-0.00221415732541101,-0.00221415732541101,0.000157091404384039,-0.0016784000000962,-0.00107591632493545
"mmu_M00134",94,1,1,-0.284103656163919,-0.284103656163919,-0.194001698962186,-0.133004940854298,-0.21187782592582
"mmu_M00132",95,1,1,-0.0106910750676901,-0.0106910750676901,-0.00860768964830869,-0.00533797722040141,-0.012495170374274
"mmu_M00079",96,1,1,-0.398457583380642,-0.398457583380642,-0.153273100686187,-0.441236712955385,-0.414839607489413
"mmu_M00083",97,1,1,0.352521707862108,0.352521707862108,0.125513865959234,0.392390246394012,0.291340547382526
"mmu_M00555",98,1,1,-0.15807962902688,-0.15807962902688,-0.0832740785069043,-0.178130402483084,-0.174896120094801
"mmu_M00091",99,1,1,-0.0364765542509561,-0.0364765542509561,-0.00617940133208739,-0.0475803104909061,-0.0421917062109641
"mmu_M00082",100,1,1,0.259196929551587,0.259196929551587,0.107116026509786,0.331532537233992,0.235490055881309
"mmu_M00880",101,1,1,-0.111373239316611,-0.111373239316611,0.0422572893153651,-0.111937502470887,-0.083924568650192
